"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"SFN","0.00821","0.317","0.256","5","hsa-miR-1307-3p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","","",""
"SRCIN1","0.00821","0.317","0.256","5","hsa-miR-92b-5p","hsa-miR-4706","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6746-5p","","","","","",""
"PGAP1","0.00855","0.326","0.144","3","hsa-miR-575","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","",""
"RAB11B","0.00868","0.327","0.260","5","hsa-miR-92b-5p","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4532","","","","","",""
"CNKSR3","0.00883","0.329","0.344","7","hsa-miR-5572","hsa-miR-6857-5p","hsa-miR-6869-5p","hsa-miR-575","hsa-miR-1343-3p","hsa-miR-6784-5p","hsa-miR-1307-3p","","","",""
"ADGRB2","0.00977","0.343","0.0779","2","hsa-miR-4687-5p","hsa-miR-6746-5p","","","","","","","","",""
"CHRNE","0.00977","0.343","0.0779","2","hsa-miR-4732-5p","hsa-miR-4687-5p","","","","","","","","",""
"CTDP1","0.00977","0.343","0.0779","2","hsa-miR-6131","hsa-miR-6784-5p","","","","","","","","",""
"G6PD","0.00955","0.343","0.150","3","hsa-miR-4648","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","","","","",""
"LIMS2","0.00977","0.343","0.0779","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","","","","","",""
"ARHGDIA","0.00989","0.343","0.351","7","hsa-miR-4783-3p","hsa-miR-1343-3p","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-7110-5p","hsa-miR-8073","","","",""
"IDE","0.0101","0.347","0.216","4","hsa-miR-6131","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
"AQP2","0.0121","0.359","0.0866","2","hsa-miR-4734","hsa-miR-6746-5p","","","","","","","","",""
"CALR","0.0120","0.359","0.326","6","hsa-miR-1343-3p","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","",""
"COLGALT1","0.0108","0.359","0.221","4","hsa-miR-4648","hsa-miR-1233-5p","hsa-miR-125a-3p","hsa-miR-128-1-5p","","","","","","",""
"DPF1","0.0117","0.359","0.162","3","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","",""
"EVI5L","0.0108","0.359","0.221","4","hsa-miR-3184-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6805-5p","","","","","","",""
"IL10RB","0.0106","0.359","0.156","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-6088","","","","","","","",""
"MSC","0.0117","0.359","0.162","3","hsa-miR-3180","hsa-miR-4481","hsa-miR-1203","","","","","","","",""
"PDZD4","0.0117","0.359","0.162","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"PITX3","0.0121","0.359","0.0866","2","hsa-miR-3180","hsa-miR-575","","","","","","","","",""
"POLR2E","0.0113","0.359","0.277","5","hsa-miR-4258","hsa-miR-1343-3p","hsa-miR-1233-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","","",""
"PPP1R14A","0.0121","0.359","0.0866","2","hsa-miR-1228-5p","hsa-miR-6784-5p","","","","","","","","",""
"RTN4RL2","0.0121","0.359","0.0866","2","hsa-miR-128-1-5p","hsa-miR-1203","","","","","","","","",""
"RXRA","0.0117","0.359","0.162","3","hsa-miR-4734","hsa-miR-4532","hsa-miR-4258","","","","","","","",""
"ZNF677","0.0117","0.359","0.162","3","hsa-miR-575","hsa-miR-6869-5p","hsa-miR-4258","","","","","","","",""
"ARHGAP39","0.0124","0.364","0.229","4","hsa-miR-92b-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
