"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"IYD","0.110","0.639","0.285","2","hsa-miR-1208","hsa-miR-4680-5p","","","",""
"JMY","0.147","0.639","0.340","2","hsa-miR-548ar-3p","hsa-miR-516b-3p","","","",""
"KATNAL1","0.337","0.639","0.597","2","hsa-miR-548l","hsa-miR-568","","","",""
"KCNA7","0.117","0.639","0.296","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"KCND3","0.106","0.639","0.279","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"KCNJ8","0.0263","0.639","0.128","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"KCNK5","0.287","0.639","0.530","2","hsa-miR-4680-5p","hsa-miR-1302","","","",""
"KCNK6","0.0388","0.639","0.326","4","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-548ar-3p","",""
"KCNMB1","0.266","0.639","0.502","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"KCNS2","0.0183","0.639","0.106","2","hsa-miR-5583-3p","hsa-miR-548ar-3p","","","",""
"KIAA1551","0.275","0.639","0.610","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-516b-3p","","",""
"KIAA1841","0.117","0.639","0.296","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"KIF1C","0.354","0.639","0.619","2","hsa-miR-516b-3p","hsa-miR-2276-3p","","","",""
"KIF6","0.241","0.639","0.469","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"KLF8","0.124","0.639","0.307","2","hsa-miR-4680-5p","hsa-miR-498","","","",""
"KLHL42","0.0244","0.639","0.212","3","hsa-miR-490-3p","hsa-miR-548ar-3p","hsa-miR-506-3p","","",""
"KLHL8","0.0431","0.639","0.167","2","hsa-miR-498","hsa-miR-520b","","","",""
"KLRC3","0.0691","0.639","0.218","2","hsa-miR-548l","hsa-miR-548ar-3p","","","",""
"KPNA6","0.374","0.639","0.647","2","hsa-miR-198","hsa-miR-520b","","","",""
"LACTB","0.106","0.639","0.279","2","hsa-miR-498","hsa-miR-4680-5p","","","",""
"LAX1","0.145","0.639","0.443","3","hsa-miR-5583-3p","hsa-miR-498","hsa-miR-199b-5p","","",""
"LCLAT1","0.270","0.639","0.508","2","hsa-miR-568","hsa-miR-520b","","","",""
"LDB1","0.136","0.639","0.324","2","hsa-miR-491-5p","hsa-miR-198","","","",""
"LDHD","0.0788","0.639","0.338","3","hsa-miR-548ar-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"LEFTY1","0.155","0.639","0.351","2","hsa-miR-548ar-3p","hsa-miR-520b","","","",""
"LGSN","0.270","0.639","0.508","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"LIAS","0.124","0.639","0.307","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"LILRA2","0.236","0.639","0.463","2","hsa-miR-490-3p","hsa-miR-516b-3p","","","",""
"LIN52","0.117","0.639","0.296","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"LIPA","0.183","0.639","0.391","2","hsa-miR-452-5p","hsa-miR-548l","","","",""
"LNPK","0.304","0.639","0.552","2","hsa-miR-452-5p","hsa-miR-548ar-3p","","","",""
"LPAR2","0.124","0.639","0.307","2","hsa-miR-520b","hsa-miR-490-3p","","","",""
"LPCAT3","0.0920","0.639","0.257","2","hsa-miR-198","hsa-miR-506-3p","","","",""
"LRCH3","0.117","0.639","0.296","2","hsa-miR-1208","hsa-miR-520b","","","",""
"LRIF1","0.0689","0.639","0.320","3","hsa-miR-1208","hsa-miR-512-3p","hsa-miR-520b","","",""
"LRRC58","0.0658","0.639","0.444","5","hsa-miR-548ar-3p","hsa-miR-5583-3p","hsa-miR-506-3p","hsa-miR-512-3p","hsa-miR-520b",""
"LRRD1","0.159","0.639","0.357","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"LSM3","0.143","0.639","0.335","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"LY6G5B","0.199","0.639","0.413","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"LYRM7","0.245","0.639","0.474","2","hsa-miR-498","hsa-miR-4715-3p","","","",""
"LYSMD3","0.00811","0.639","0.141","3","hsa-miR-580-5p","hsa-miR-5583-3p","hsa-miR-506-3p","","",""
"MACC1","0.117","0.639","0.402","3","hsa-miR-4680-5p","hsa-miR-2276-3p","hsa-miR-4715-3p","","",""
"MAN2B2","0.00187","0.639","0.137","4","hsa-miR-506-3p","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4680-5p","",""
"MANEAL","0.175","0.639","0.379","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MAP3K1","0.0722","0.639","0.223","2","hsa-miR-452-5p","hsa-miR-451a","","","",""
"MAPK1","0.335","0.639","0.681","3","hsa-miR-498","hsa-miR-1255a","hsa-miR-451a","","",""
"MAPK14","0.0727","0.639","0.327","3","hsa-miR-1208","hsa-miR-4680-5p","hsa-miR-4715-3p","","",""
"MAPKAPK5","0.322","0.639","0.666","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-548ar-3p","","",""
"MASTL","0.179","0.639","0.385","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MAZ","0.153","0.639","0.454","3","hsa-miR-27a-5p","hsa-miR-491-5p","hsa-miR-198","","",""
"MBNL1","0.394","0.639","0.675","2","hsa-miR-520b","hsa-miR-5583-3p","","","",""
"MED12L","0.0221","0.639","0.117","2","hsa-miR-580-5p","hsa-miR-2276-3p","","","",""
"MED16","0.107","0.639","0.387","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4715-3p","","",""
"MED17","0.187","0.639","0.396","2","hsa-miR-520b","hsa-miR-512-3p","","","",""
"MED18","0.159","0.639","0.357","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"METTL22","0.0202","0.639","0.112","2","hsa-miR-1302","hsa-miR-498","","","",""
"METTL8","0.329","0.639","0.586","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MFAP2","0.0285","0.639","0.134","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MFN1","0.0629","0.639","0.206","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MFSD14B","0.0955","0.639","0.262","2","hsa-miR-1255a","hsa-miR-506-3p","","","",""
"MFSD2A","0.0989","0.639","0.268","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MID1IP1","0.121","0.639","0.301","2","hsa-miR-548ar-3p","hsa-miR-491-5p","","","",""
"MIER3","0.262","0.639","0.497","2","hsa-miR-568","hsa-miR-491-5p","","","",""
"MIXL1","0.0955","0.639","0.262","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MKLN1","0.295","0.639","0.541","2","hsa-miR-548l","hsa-miR-5583-3p","","","",""
"MLLT1","0.0348","0.639","0.373","5","hsa-miR-4680-5p","hsa-miR-548ar-3p","hsa-miR-1207-3p","hsa-miR-506-3p","hsa-miR-512-3p",""
"MMP2","0.00455","0.639","0.115","3","hsa-miR-451a","hsa-miR-491-5p","hsa-miR-452-5p","","",""
"MMP9","0.0221","0.639","0.117","2","hsa-miR-451a","hsa-miR-491-5p","","","",""
"MNT","0.114","0.639","0.398","3","hsa-miR-1255a","hsa-miR-198","hsa-miR-491-5p","","",""
"MOB4","0.0727","0.639","0.327","3","hsa-miR-580-5p","hsa-miR-512-3p","hsa-miR-498","","",""
"MPDU1","0.0787","0.639","0.234","2","hsa-miR-1255a","hsa-miR-2276-3p","","","",""
"MPP5","0.0754","0.639","0.229","2","hsa-miR-520b","hsa-miR-548ar-3p","","","",""
"MPPE1","0.0632","0.639","0.309","3","hsa-miR-1207-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"MPPED1","0.0115","0.639","0.0837","2","hsa-miR-27a-5p","hsa-miR-516b-3p","","","",""
"MRE11","0.232","0.639","0.457","2","hsa-miR-491-5p","hsa-miR-498","","","",""
"MRO","0.354","0.639","0.619","2","hsa-miR-491-5p","hsa-miR-2276-3p","","","",""
"MRPL12","0.316","0.639","0.569","2","hsa-miR-1255a","hsa-miR-491-5p","","","",""
"MRPS10","0.0731","0.639","0.402","4","hsa-miR-548ar-3p","hsa-miR-490-3p","hsa-miR-512-3p","hsa-miR-520b","",""
"MSH3","0.147","0.639","0.340","2","hsa-miR-520b","hsa-miR-498","","","",""
"MSMO1","0.386","0.639","0.664","2","hsa-miR-498","hsa-miR-4715-3p","","","",""
"MSRB2","0.0212","0.639","0.201","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"MTDH","0.179","0.639","0.385","2","hsa-miR-506-3p","hsa-miR-452-5p","","","",""
"MTHFD2","0.394","0.639","0.675","2","hsa-miR-548l","hsa-miR-568","","","",""
"MTMR9","0.143","0.639","0.335","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MTRNR2L1","0.106","0.639","0.279","2","hsa-miR-4680-5p","hsa-miR-490-3p","","","",""
"MTRNR2L7","0.0722","0.639","0.223","2","hsa-miR-4680-5p","hsa-miR-490-3p","","","",""
"MYH9","0.137","0.639","0.431","3","hsa-miR-490-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"MYLIP","0.132","0.639","0.424","3","hsa-miR-5583-3p","hsa-miR-548l","hsa-miR-506-3p","","",""
"MYLK3","0.329","0.639","0.586","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"MYO1F","0.0301","0.639","0.301","4","hsa-miR-2276-3p","hsa-miR-498","hsa-miR-520b","hsa-miR-512-3p","",""
"N4BP2L2","0.0819","0.639","0.240","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"NCOA7","0.0458","0.639","0.173","2","hsa-miR-498","hsa-miR-516b-3p","","","",""
"NCR3LG1","0.121","0.639","0.301","2","hsa-miR-1255a","hsa-miR-4680-5p","","","",""
"NDRG1","0.224","0.639","0.446","2","hsa-miR-548ar-3p","hsa-miR-512-3p","","","",""
"NEK8","0.151","0.639","0.346","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"NFATC2IP","0.0415","0.639","0.260","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-4680-5p","","",""
"NFIB","0.0959","0.639","0.368","3","hsa-miR-491-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"NOL9","0.295","0.639","0.541","2","hsa-miR-520b","hsa-miR-490-3p","","","",""
"NQO2","0.0317","0.639","0.234","3","hsa-miR-516b-3p","hsa-miR-2276-3p","hsa-miR-4715-3p","","",""
"NR2F6","0.329","0.639","0.586","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"NRXN1","0.0263","0.639","0.128","2","hsa-miR-498","hsa-miR-8056","","","",""
"NUCKS1","0.329","0.639","0.586","2","hsa-miR-548l","hsa-miR-1208","","","",""
"NUGGC","0.139","0.639","0.329","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"OCIAD1","0.128","0.639","0.312","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"OLAH","0.00872","0.639","0.145","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"PAG1","0.175","0.639","0.379","2","hsa-miR-516b-3p","hsa-miR-498","","","",""
"PAPD5","0.295","0.639","0.541","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PARD3","0.175","0.639","0.379","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PARP15","0.107","0.639","0.387","3","hsa-miR-548l","hsa-miR-548ar-3p","hsa-miR-4680-5p","","",""
"PAWR","0.124","0.639","0.307","2","hsa-miR-4680-5p","hsa-miR-548l","","","",""
"PCCB","0.0829","0.639","0.346","3","hsa-miR-506-3p","hsa-miR-498","hsa-miR-490-3p","","",""
"PCDHA6","0.159","0.639","0.357","2","hsa-miR-548l","hsa-miR-498","","","",""
"PCNX2","0.0415","0.639","0.260","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"PDCD10","0.117","0.639","0.296","2","hsa-miR-498","hsa-miR-4715-3p","","","",""
"PDE4C","0.0292","0.639","0.298","4","hsa-miR-4715-3p","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","",""
"PDHB","0.0886","0.639","0.251","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PDPK1","0.207","0.639","0.424","2","hsa-miR-520b","hsa-miR-4680-5p","","","",""
"PDZD8","0.354","0.639","0.619","2","hsa-miR-4424","hsa-miR-490-3p","","","",""
"PEX26","0.319","0.639","0.662","3","hsa-miR-4680-5p","hsa-miR-1302","hsa-miR-498","","",""
"PFKP","0.0629","0.639","0.206","2","hsa-miR-520b","hsa-miR-512-3p","","","",""
"PHLDA3","0.142","0.639","0.439","3","hsa-miR-2276-3p","hsa-miR-4715-3p","hsa-miR-498","","",""
"PI4K2B","0.128","0.639","0.312","2","hsa-miR-506-3p","hsa-miR-548l","","","",""
"PIGO","0.107","0.639","0.387","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-1207-3p","","",""
"PIGP","0.179","0.639","0.385","2","hsa-miR-1208","hsa-miR-452-5p","","","",""
"PIK3CB","0.0115","0.639","0.0837","2","hsa-miR-1207-3p","hsa-miR-4424","","","",""
"PIM3","0.0920","0.639","0.257","2","hsa-miR-568","hsa-miR-506-3p","","","",""
"PIN1","0.0233","0.639","0.208","3","hsa-miR-491-5p","hsa-miR-1255a","hsa-miR-199b-5p","","",""
"PLA2G12A","0.0304","0.639","0.231","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-516b-3p","","",""
"PLEKHG2","0.0850","0.639","0.350","3","hsa-miR-199b-5p","hsa-miR-4680-5p","hsa-miR-4715-3p","","",""
"PLEKHM1","0.105","0.639","0.383","3","hsa-miR-491-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"PLXNA3","0.220","0.639","0.441","2","hsa-miR-1207-3p","hsa-miR-490-3p","","","",""
"PLXND1","0.0915","0.639","0.361","3","hsa-miR-8056","hsa-miR-1255a","hsa-miR-199b-5p","","",""
"PNPO","0.0819","0.639","0.240","2","hsa-miR-4424","hsa-miR-516b-3p","","","",""
"PNRC1","0.394","0.639","0.675","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PNRC2","0.175","0.639","0.379","2","hsa-miR-27a-5p","hsa-miR-548ar-3p","","","",""
"POFUT1","0.0669","0.639","0.316","3","hsa-miR-1255a","hsa-miR-548ar-3p","hsa-miR-498","","",""
"POLM","0.163","0.639","0.363","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"POLR3A","0.287","0.639","0.530","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"POLR3F","0.113","0.639","0.290","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PPIC","0.287","0.639","0.530","2","hsa-miR-490-3p","hsa-miR-2276-3p","","","",""
"PPM1F","0.147","0.639","0.340","2","hsa-miR-516b-3p","hsa-miR-512-3p","","","",""
"PPM1L","0.257","0.639","0.491","2","hsa-miR-490-3p","hsa-miR-8056","","","",""
"PPP1R16B","0.143","0.639","0.335","2","hsa-miR-1207-3p","hsa-miR-1302","","","",""
"PRELID1","0.0754","0.639","0.229","2","hsa-miR-580-5p","hsa-miR-548l","","","",""
"PRIM1","0.354","0.639","0.619","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PRPF4","0.199","0.639","0.413","2","hsa-miR-520b","hsa-miR-498","","","",""
"PRR13","0.179","0.639","0.385","2","hsa-miR-4715-3p","hsa-miR-490-3p","","","",""
"PTAR1","0.139","0.639","0.329","2","hsa-miR-8056","hsa-miR-548ar-3p","","","",""
"PTGIS","0.241","0.639","0.469","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"PTK7","0.0485","0.639","0.179","2","hsa-miR-1255a","hsa-miR-491-5p","","","",""
"PURA","0.278","0.639","0.519","2","hsa-miR-4680-5p","hsa-miR-580-5p","","","",""
"QRFPR","0.0197","0.639","0.265","4","hsa-miR-506-3p","hsa-miR-580-5p","hsa-miR-512-3p","hsa-miR-520b","",""
"QSOX1","0.345","0.639","0.608","2","hsa-miR-520b","hsa-miR-199b-5p","","","",""
"RAB32","0.378","0.639","0.653","2","hsa-miR-4680-5p","hsa-miR-548l","","","",""
"RAB33B","0.117","0.639","0.296","2","hsa-miR-548ar-3p","hsa-miR-490-3p","","","",""
"RAB3IP","0.390","0.639","0.669","2","hsa-miR-516b-3p","hsa-miR-520b","","","",""
"RAB42","0.106","0.639","0.279","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"RABGAP1L","0.253","0.639","0.485","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"RAD54L2","0.124","0.639","0.307","2","hsa-miR-1207-3p","hsa-miR-516b-3p","","","",""
"RAP2B","0.304","0.639","0.552","2","hsa-miR-548ar-3p","hsa-miR-490-3p","","","",""
"RBFOX2","0.195","0.639","0.407","2","hsa-miR-498","hsa-miR-548l","","","",""
"RBM41","0.253","0.639","0.485","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"RBPJ","0.228","0.639","0.452","2","hsa-miR-490-3p","hsa-miR-4715-3p","","","",""
"REST","0.0981","0.639","0.372","3","hsa-miR-520b","hsa-miR-548l","hsa-miR-452-5p","","",""
"REXO1","0.308","0.639","0.558","2","hsa-miR-491-5p","hsa-miR-4285","","","",""
"RGP1","0.228","0.639","0.452","2","hsa-miR-516b-3p","hsa-miR-4680-5p","","","",""
"RHOA","0.270","0.639","0.508","2","hsa-miR-5583-3p","hsa-miR-490-3p","","","",""
"RHOBTB3","0.155","0.639","0.351","2","hsa-miR-1208","hsa-miR-452-5p","","","",""
"RHOC","0.0343","0.639","0.242","3","hsa-miR-568","hsa-miR-512-3p","hsa-miR-520b","","",""
"RIF1","0.236","0.639","0.463","2","hsa-miR-5583-3p","hsa-miR-490-3p","","","",""
"RILPL1","0.155","0.639","0.351","2","hsa-miR-1302","hsa-miR-490-3p","","","",""
"RMND1","0.0485","0.639","0.179","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"RNASEH1","0.0722","0.639","0.223","2","hsa-miR-580-5p","hsa-miR-520b","","","",""
"RNF115","0.142","0.639","0.439","3","hsa-miR-199b-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"RNF14","0.0513","0.639","0.184","2","hsa-miR-2276-3p","hsa-miR-4715-3p","","","",""
"RNF157","0.308","0.639","0.558","2","hsa-miR-512-3p","hsa-miR-498","","","",""
"RNF165","0.132","0.639","0.318","2","hsa-miR-4680-5p","hsa-miR-498","","","",""
"RNF19B","0.0959","0.639","0.368","3","hsa-miR-2276-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"RNF41","0.0317","0.639","0.234","3","hsa-miR-506-3p","hsa-miR-498","hsa-miR-2276-3p","","",""
"RPL14","0.266","0.639","0.502","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"RPL17-C18orf32","0.0380","0.639","0.156","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"RPL41","0.287","0.639","0.530","2","hsa-miR-4285","hsa-miR-198","","","",""
"RPS15A","0.195","0.639","0.407","2","hsa-miR-548l","hsa-miR-4680-5p","","","",""
"RPS16","0.0201","0.639","0.197","3","hsa-miR-452-5p","hsa-miR-548ar-3p","hsa-miR-27a-5p","","",""
"RRP36","0.345","0.639","0.608","2","hsa-miR-4715-3p","hsa-miR-2276-3p","","","",""
"RTN2","0.0357","0.639","0.245","3","hsa-miR-4680-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"SAMD4B","0.171","0.639","0.374","2","hsa-miR-1255a","hsa-miR-491-5p","","","",""
"SAMD8","0.158","0.639","0.461","3","hsa-miR-548l","hsa-miR-512-3p","hsa-miR-520b","","",""
"SBF1","0.0651","0.639","0.312","3","hsa-miR-491-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"SCRG1","0.113","0.639","0.290","2","hsa-miR-2276-3p","hsa-miR-490-3p","","","",""
"SDHAF1","0.0722","0.639","0.223","2","hsa-miR-490-3p","hsa-miR-498","","","",""
"SEC14L3","0.0165","0.639","0.100","2","hsa-miR-4424","hsa-miR-2276-3p","","","",""
"SEC23B","0.121","0.639","0.301","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SERBP1","0.398","0.639","0.681","2","hsa-miR-4715-3p","hsa-miR-548l","","","",""
"SERF2","0.0129","0.639","0.167","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"SERINC1","0.155","0.639","0.351","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SET","0.199","0.639","0.413","2","hsa-miR-199b-5p","hsa-miR-1208","","","",""
"SF3B1","0.0570","0.639","0.195","2","hsa-miR-498","hsa-miR-2276-3p","","","",""
"SGTB","0.139","0.639","0.435","3","hsa-miR-5583-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"SH3BP5","0.121","0.639","0.301","2","hsa-miR-568","hsa-miR-520b","","","",""
"SHPK","0.0202","0.639","0.112","2","hsa-miR-516b-3p","hsa-miR-452-5p","","","",""
"SIKE1","0.171","0.639","0.374","2","hsa-miR-4424","hsa-miR-516b-3p","","","",""
"SKIL","0.390","0.639","0.669","2","hsa-miR-568","hsa-miR-548ar-3p","","","",""
"SLC10A6","0.341","0.639","0.603","2","hsa-miR-1255a","hsa-miR-490-3p","","","",""
"SLC12A6","0.0754","0.639","0.229","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SLC19A3","0.245","0.639","0.474","2","hsa-miR-491-5p","hsa-miR-4680-5p","","","",""
"SLC1A5","0.125","0.639","0.485","4","hsa-miR-2276-3p","hsa-miR-498","hsa-miR-520b","hsa-miR-4715-3p","",""
"SLC25A33","0.110","0.639","0.391","3","hsa-miR-2276-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"SLC28A1","0.253","0.639","0.485","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SLC35F5","0.228","0.639","0.452","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SLC35F6","0.0955","0.639","0.441","4","hsa-miR-490-3p","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-568","",""
"SLC38A2","0.199","0.639","0.413","2","hsa-miR-491-5p","hsa-miR-199b-5p","","","",""
"SLC6A4","0.0526","0.639","0.286","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-491-5p","","",""
"SLC7A11","0.100","0.639","0.376","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"SLC7A14","0.00148","0.639","0.128","4","hsa-miR-4424","hsa-miR-568","hsa-miR-4715-3p","hsa-miR-498","",""
"SLC8A1","0.0886","0.639","0.251","2","hsa-miR-199b-5p","hsa-miR-512-3p","","","",""
"SLX4","0.136","0.639","0.324","2","hsa-miR-548ar-3p","hsa-miR-1207-3p","","","",""
"SMIM15","0.117","0.639","0.296","2","hsa-miR-548l","hsa-miR-498","","","",""
"SMU1","0.324","0.639","0.580","2","hsa-miR-452-5p","hsa-miR-506-3p","","","",""
"SNAP25","0.0308","0.639","0.139","2","hsa-miR-199b-5p","hsa-miR-27a-5p","","","",""
"SNAP47","0.167","0.639","0.368","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SNRPD3","0.337","0.639","0.597","2","hsa-miR-4680-5p","hsa-miR-490-3p","","","",""
"SNX5","0.110","0.639","0.285","2","hsa-miR-580-5p","hsa-miR-520b","","","",""
"SOCS5","0.312","0.639","0.563","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SON","0.394","0.639","0.675","2","hsa-miR-580-5p","hsa-miR-520b","","","",""
"SORCS2","0.257","0.639","0.491","2","hsa-miR-520b","hsa-miR-548l","","","",""
"SP2","0.224","0.639","0.446","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SPC25","0.0317","0.639","0.234","3","hsa-miR-1255a","hsa-miR-548l","hsa-miR-548ar-3p","","",""
"SPCS1","0.0722","0.639","0.223","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SPCS3","0.245","0.639","0.474","2","hsa-miR-548l","hsa-miR-490-3p","","","",""
"SPIB","0.0829","0.639","0.346","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"SPPL2A","0.0357","0.639","0.318","4","hsa-miR-580-5p","hsa-miR-548l","hsa-miR-548ar-3p","hsa-miR-498","",""
"SSU72","0.232","0.639","0.457","2","hsa-miR-548l","hsa-miR-491-5p","","","",""
"ST18","0.0183","0.639","0.106","2","hsa-miR-1255a","hsa-miR-8056","","","",""
"STAC2","0.0129","0.639","0.167","3","hsa-miR-4680-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"STARD3NL","0.0513","0.639","0.184","2","hsa-miR-4424","hsa-miR-548ar-3p","","","",""
"STK35","0.0371","0.639","0.249","3","hsa-miR-498","hsa-miR-491-5p","hsa-miR-506-3p","","",""
"STK4","0.269","0.639","0.603","3","hsa-miR-518b","hsa-miR-4424","hsa-miR-548ar-3p","","",""
"STX4","0.266","0.639","0.502","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SUCO","0.147","0.639","0.340","2","hsa-miR-520b","hsa-miR-548ar-3p","","","",""
"SUGP1","0.0819","0.639","0.240","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"SVOP","0.337","0.639","0.597","2","hsa-miR-516b-3p","hsa-miR-2276-3p","","","",""
"SYNPO2L","0.0596","0.639","0.301","3","hsa-miR-2276-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"TAOK1","0.244","0.639","0.633","4","hsa-miR-1255a","hsa-miR-580-5p","hsa-miR-512-3p","hsa-miR-520b","",""
"TBRG1","0.163","0.639","0.363","2","hsa-miR-4424","hsa-miR-498","","","",""
"TCEANC2","0.0722","0.639","0.223","2","hsa-miR-498","hsa-miR-516b-3p","","","",""
"TERT","0.0485","0.639","0.179","2","hsa-miR-498","hsa-miR-1255a","","","",""
"TGOLN2","0.308","0.639","0.558","2","hsa-miR-548l","hsa-miR-498","","","",""
"THBS1","0.287","0.639","0.530","2","hsa-miR-491-5p","hsa-miR-198","","","",""
"THEM4","0.102","0.639","0.273","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"TIMM10","0.0871","0.639","0.353","3","hsa-miR-516b-3p","hsa-miR-520b","hsa-miR-512-3p","","",""
"TIMM8A","0.169","0.639","0.476","3","hsa-miR-4715-3p","hsa-miR-4680-5p","hsa-miR-2276-3p","","",""
"TLR7","0.0691","0.639","0.218","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"TMED7","0.0222","0.639","0.205","3","hsa-miR-451a","hsa-miR-498","hsa-miR-4680-5p","","",""
"TMEM127","0.124","0.639","0.413","3","hsa-miR-2276-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"TMEM134","0.0920","0.639","0.257","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"TMEM167A","0.153","0.639","0.454","3","hsa-miR-568","hsa-miR-490-3p","hsa-miR-580-5p","","",""
"TMEM19","0.0955","0.639","0.262","2","hsa-miR-520b","hsa-miR-498","","","",""
"TMEM2","0.324","0.639","0.580","2","hsa-miR-198","hsa-miR-4715-3p","","","",""
"TMEM30A","0.159","0.639","0.357","2","hsa-miR-512-3p","hsa-miR-548l","","","",""
"TMOD2","0.102","0.639","0.273","2","hsa-miR-199b-5p","hsa-miR-4680-5p","","","",""
"TNFAIP8L1","0.0242","0.639","0.282","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-4715-3p","hsa-miR-498","",""
"TNFRSF10B","0.345","0.639","0.608","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"TNIP3","0.132","0.639","0.318","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"TNKS2","0.0100","0.639","0.152","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-490-3p","","",""
