"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"GOLGA2","0.0244","0.531","0.212","3","hsa-miR-4722-3p","hsa-miR-512-3p","hsa-miR-498","","",""
"HTR5A-AS1","0.0242","0.531","0.123","2","hsa-miR-1254","hsa-miR-1255a","","","",""
"PI4K2B","0.0233","0.531","0.208","3","hsa-miR-196a-3p","hsa-miR-3973","hsa-miR-548l","","",""
"RNF165","0.0244","0.531","0.212","3","hsa-miR-4680-5p","hsa-miR-498","hsa-miR-4722-3p","","",""
"SLC7A11","0.0242","0.531","0.282","4","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-512-3p","",""
"TGOLN2","0.0234","0.531","0.279","4","hsa-miR-3973","hsa-miR-548l","hsa-miR-498","hsa-miR-4722-3p","",""
"TNFAIP8L1","0.0242","0.531","0.282","4","hsa-miR-512-3p","hsa-miR-3973","hsa-miR-4722-3p","hsa-miR-498","",""
"DNAJB4","0.0250","0.538","0.285","4","hsa-miR-1255a","hsa-miR-4802-3p","hsa-miR-512-3p","hsa-miR-3973","",""
"AP1S3","0.0267","0.550","0.219","3","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"FUS","0.0267","0.550","0.219","3","hsa-miR-1255a","hsa-miR-1254","hsa-miR-4802-3p","","",""
"GRM6","0.0263","0.550","0.128","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"PARP15","0.0266","0.550","0.290","4","hsa-miR-106a-3p","hsa-miR-4802-3p","hsa-miR-548l","hsa-miR-4680-5p","",""
"PIGO","0.0266","0.550","0.290","4","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-512-3p","hsa-miR-1207-3p","",""
"SLBP","0.0263","0.550","0.128","2","hsa-miR-106a-3p","hsa-miR-3124-3p","","","",""
"ABL2","0.0274","0.560","0.293","4","hsa-miR-6829-3p","hsa-miR-490-3p","hsa-miR-1208","hsa-miR-4722-3p","",""
"CEP76","0.0285","0.569","0.134","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"DNAJB13","0.0291","0.569","0.227","3","hsa-miR-1254","hsa-miR-512-3p","hsa-miR-1208","","",""
"FUT11","0.0283","0.569","0.296","4","hsa-miR-1207-3p","hsa-miR-3124-3p","hsa-miR-498","hsa-miR-6829-3p","",""
"RPL37","0.0291","0.569","0.227","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"SNIP1","0.0285","0.569","0.134","2","hsa-miR-4722-3p","hsa-miR-5583-3p","","","",""
"TIRAP","0.0291","0.569","0.227","3","hsa-miR-4680-5p","hsa-miR-196a-3p","hsa-miR-6829-3p","","",""
"FKBP14","0.0301","0.579","0.301","4","hsa-miR-4722-3p","hsa-miR-1254","hsa-miR-512-3p","hsa-miR-4680-5p","",""
"SLC10A6","0.0301","0.579","0.301","4","hsa-miR-6829-3p","hsa-miR-1254","hsa-miR-1255a","hsa-miR-490-3p","",""
"ATMIN","0.0331","0.580","0.145","2","hsa-miR-548l","hsa-miR-3973","","","",""
"CAPZA2","0.0319","0.580","0.307","4","hsa-miR-498","hsa-miR-4483","hsa-miR-4722-3p","hsa-miR-512-3p","",""
"CCBE1","0.0330","0.580","0.238","3","hsa-miR-4722-3p","hsa-miR-1207-3p","hsa-miR-1208","","",""
"CES2","0.0330","0.580","0.238","3","hsa-miR-1254","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"ECHDC3","0.0331","0.580","0.145","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"EMC7","0.0317","0.580","0.234","3","hsa-miR-4722-3p","hsa-miR-1207-3p","hsa-miR-3973","","",""
"GGPS1","0.0308","0.580","0.139","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"NLRP12","0.0331","0.580","0.145","2","hsa-miR-1207-3p","hsa-miR-6829-3p","","","",""
"PCDHA6","0.0330","0.580","0.238","3","hsa-miR-548l","hsa-miR-498","hsa-miR-6829-3p","","",""
"RILPL1","0.0317","0.580","0.234","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-490-3p","","",""
"RRP8","0.0308","0.580","0.139","2","hsa-miR-3973","hsa-miR-5583-3p","","","",""
"SLFN13","0.0308","0.580","0.139","2","hsa-miR-6829-3p","hsa-miR-1207-3p","","","",""
"ZNF217","0.0331","0.580","0.145","2","hsa-miR-106a-3p","hsa-miR-3124-3p","","","",""
"ACAD8","0.0405","0.601","0.162","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"ACPP","0.0355","0.601","0.151","2","hsa-miR-3973","hsa-miR-548l","","","",""
"ARFGEF1","0.0355","0.601","0.151","2","hsa-miR-4722-3p","hsa-miR-1254","","","",""
"BHMT2","0.0371","0.601","0.249","3","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-512-3p","","",""
"EFCAB14","0.0415","0.601","0.260","3","hsa-miR-498","hsa-miR-3973","hsa-miR-548l","","",""
"FAM241A","0.0406","0.601","0.388","5","hsa-miR-1255a","hsa-miR-4802-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-490-3p",""
"FDFT1","0.0431","0.601","0.167","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"GABPB2","0.0355","0.601","0.151","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"KCTD20","0.0380","0.601","0.156","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"KIAA0408","0.0430","0.601","0.264","3","hsa-miR-4722-3p","hsa-miR-1207-3p","hsa-miR-6829-3p","","",""
"KIAA1586","0.0385","0.601","0.253","3","hsa-miR-548l","hsa-miR-124-5p","hsa-miR-6829-3p","","",""
"KNSTRN","0.0357","0.601","0.245","3","hsa-miR-196a-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"LAX1","0.0409","0.601","0.332","4","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-5583-3p","hsa-miR-498","",""
"LRP10","0.0371","0.601","0.249","3","hsa-miR-6829-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"PAIP2B","0.0431","0.601","0.167","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"PARD3","0.0385","0.601","0.253","3","hsa-miR-6829-3p","hsa-miR-1254","hsa-miR-512-3p","","",""
"PCNX2","0.0415","0.601","0.260","3","hsa-miR-512-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"PLAC8","0.0431","0.601","0.167","2","hsa-miR-498","hsa-miR-196a-3p","","","",""
"PLEKHM2","0.0431","0.601","0.167","2","hsa-miR-3124-3p","hsa-miR-4722-3p","","","",""
"PLEKHM3","0.0415","0.601","0.260","3","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"POC1A","0.0400","0.601","0.257","3","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-6829-3p","","",""
"POU3F3","0.0380","0.601","0.156","2","hsa-miR-8072","hsa-miR-3140-5p","","","",""
"PRRT2","0.0430","0.601","0.264","3","hsa-miR-4281","hsa-miR-4483","hsa-miR-6829-3p","","",""
"REV3L","0.0380","0.601","0.156","2","hsa-miR-124-5p","hsa-miR-548l","","","",""
"RNF121","0.0431","0.601","0.167","2","hsa-miR-4483","hsa-miR-498","","","",""
"RNF168","0.0405","0.601","0.162","2","hsa-miR-1255a","hsa-miR-4802-3p","","","",""
"RSL1D1","0.0400","0.601","0.257","3","hsa-miR-1254","hsa-miR-498","hsa-miR-4722-3p","","",""
"SEC23IP","0.0405","0.601","0.162","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"SPIRE2","0.0431","0.601","0.167","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"TOR1AIP1","0.0400","0.601","0.257","3","hsa-miR-1207-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"TRIM4","0.0371","0.601","0.249","3","hsa-miR-196a-3p","hsa-miR-124-5p","hsa-miR-5583-3p","","",""
"ZNF383","0.0400","0.601","0.257","3","hsa-miR-106a-3p","hsa-miR-4680-5p","hsa-miR-196a-3p","","",""
"ZNF667","0.0380","0.601","0.156","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"ZNF677","0.0380","0.601","0.156","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
