"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"C8orf37","0.114","0.592","0.291","2","hsa-miR-371b-5p","hsa-miR-4282","","","","",""
"C8orf44-SGK3","0.221","0.592","0.248","1","hsa-miR-5587-5p","","","","","",""
"C9orf139","0.169","0.592","0.183","1","hsa-miR-4722-3p","","","","","",""
"C9orf170","0.302","0.592","0.356","1","hsa-miR-4722-3p","","","","","",""
"C9orf3","0.128","0.592","0.312","2","hsa-miR-6722-3p","hsa-miR-4722-3p","","","","",""
"C9orf62","0.317","0.592","0.377","1","hsa-miR-6722-3p","","","","","",""
"CA5B","0.187","0.592","0.205","1","hsa-miR-7703","","","","","",""
"CABP4","0.257","0.592","0.490","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"CACNA1A","0.132","0.592","0.318","2","hsa-miR-4749-5p","hsa-miR-6829-3p","","","","",""
"CACNG1","0.150","0.592","0.162","1","hsa-miR-4282","","","","","",""
"CACUL1","0.132","0.592","0.318","2","hsa-miR-4524b-5p","hsa-miR-4282","","","","",""
"CALCOCO2","0.165","0.592","0.366","2","hsa-miR-1229-3p","hsa-miR-6802-3p","","","","",""
"CALM3","0.334","0.592","0.593","2","hsa-miR-1253","hsa-miR-6722-3p","","","","",""
"CALML3","0.230","0.592","0.259","1","hsa-miR-6722-3p","","","","","",""
"CALN1","0.204","0.592","0.226","1","hsa-miR-412-3p","","","","","",""
"CALR","0.0310","0.592","0.304","4","hsa-miR-412-3p","hsa-miR-6722-3p","hsa-miR-1253","hsa-miR-4749-5p","","",""
"CAMK4","0.332","0.592","0.399","1","hsa-miR-1253","","","","","",""
"CAMKV","0.271","0.592","0.312","1","hsa-miR-4722-3p","","","","","",""
"CAMTA2","0.339","0.592","0.409","1","hsa-miR-5591-5p","","","","","",""
"CANX","0.0862","0.592","0.352","3","hsa-miR-4524b-5p","hsa-miR-6722-3p","hsa-miR-1253","","","",""
"CAPZA1","0.141","0.592","0.438","3","hsa-miR-548h-5p","hsa-miR-4722-3p","hsa-miR-6722-3p","","","",""
"CAPZA2","0.112","0.592","0.395","3","hsa-miR-4524b-5p","hsa-miR-7151-5p","hsa-miR-4722-3p","","","",""
"CASK","0.160","0.592","0.172","1","hsa-miR-4524b-5p","","","","","",""
"CASKIN2","0.238","0.592","0.269","1","hsa-miR-6769b-5p","","","","","",""
"CASP1","0.0930","0.592","0.0970","1","hsa-miR-412-3p","","","","","",""
"CASP16P","0.224","0.592","0.447","2","hsa-miR-4282","hsa-miR-7151-5p","","","","",""
"CASS4","0.230","0.592","0.259","1","hsa-miR-7703","","","","","",""
"CAV2","0.204","0.592","0.226","1","hsa-miR-4722-3p","","","","","",""
"CAVIN4","0.263","0.592","0.302","1","hsa-miR-6829-3p","","","","","",""
"CBX3","0.212","0.592","0.431","2","hsa-miR-548h-5p","hsa-miR-4282","","","","",""
"CC2D1B","0.0709","0.592","0.221","2","hsa-miR-4749-5p","hsa-miR-6722-3p","","","","",""
