Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
SOCS5,0.038461538461538436,0.268,0.61,0.505,2,hsa-miR-4474-3p,hsa-miR-520d-3p,,,,,
SRSF2,0.038461538461538436,0.306,0.61,0.555,2,hsa-miR-6715b-5p,hsa-miR-548ah-5p,,,,,
RNASEH1,0.038461538461538436,0.0595,0.61,0.2,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
SVOP,0.038461538461538436,0.291,0.61,0.535,2,hsa-miR-548h-5p,hsa-miR-4727-5p,,,,,
SPATA6,0.038461538461538436,0.085,0.61,0.245,2,hsa-miR-6756-5p,hsa-miR-4516,,,,,
RPA1,0.038461538461538436,0.0106,0.61,0.08,2,hsa-miR-139-3p,hsa-miR-29b-1-5p,,,,,
SPOPL,0.038461538461538436,0.0761,0.61,0.23,2,hsa-miR-4516,hsa-miR-3975,,,,,
STK10,0.038461538461538436,0.018,0.61,0.105,2,hsa-miR-1225-3p,hsa-miR-922,,,,,
RHOF,0.038461538461538436,0.11,0.61,0.285,2,hsa-miR-3975,hsa-miR-6756-5p,,,,,
SPRYD3,0.038461538461538436,0.018,0.61,0.105,2,hsa-miR-4516,hsa-miR-922,,,,,
SRRD,0.038461538461538436,0.126,0.61,0.31,2,hsa-miR-6715b-5p,hsa-miR-29b-1-5p,,,,,
RNF40,0.038461538461538436,0.245,0.61,0.475,2,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,,
RNF149,0.038461538461538436,0.19,0.61,0.4,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
RNF115,0.038461538461538436,0.332,0.61,0.59,2,hsa-miR-6734-3p,hsa-miR-520d-3p,,,,,
SRRM4,0.038461538461538436,0.0733,0.61,0.225,2,hsa-miR-922,hsa-miR-6734-3p,,,,,
SETD7,0.038461538461538436,0.234,0.61,0.46,2,hsa-miR-548h-5p,hsa-miR-3975,,,,,
SNRNP27,0.038461538461538436,0.0353,0.61,0.15,2,hsa-miR-139-3p,hsa-miR-4511,,,,,
SECISBP2L,0.038461538461538436,0.212,0.61,0.43,2,hsa-miR-4803,hsa-miR-6769b-5p,,,,,
SCAMP3,0.038461538461538436,0.0543,0.61,0.19,2,hsa-miR-922,hsa-miR-6815-5p,,,,,
SLC25A36,0.038461538461538436,0.15,0.61,0.345,2,hsa-miR-4516,hsa-miR-4803,,,,,
SLC25A33,0.038461538461538436,0.283,0.61,0.525,2,hsa-miR-134-3p,hsa-miR-520d-3p,,,,,
SLC22A23,0.038461538461538436,0.0704,0.61,0.22,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
SLC16A9,0.038461538461538436,0.15,0.61,0.345,2,hsa-miR-4727-5p,hsa-miR-4511,,,,,
SDE2,0.038461538461538436,0.23,0.61,0.455,2,hsa-miR-5582-5p,hsa-miR-548h-5p,,,,,
SEC61A1,0.038461538461538436,0.113,0.61,0.29,2,hsa-miR-6735-5p,hsa-miR-922,,,,,
SIGLEC10,0.038461538461538436,0.079,0.61,0.235,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
SIAH3,0.038461538461538436,0.018,0.61,0.105,2,hsa-miR-4516,hsa-miR-6734-3p,,,,,
SELENOI,0.038461538461538436,0.126,0.61,0.31,2,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,,
SND1,0.038461538461538436,0.0353,0.61,0.15,2,hsa-miR-4516,hsa-miR-6734-3p,,,,,
SH3BP2,0.038461538461538436,0.0704,0.61,0.22,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
SGPP2,0.038461538461538436,0.079,0.61,0.235,2,hsa-miR-1225-3p,hsa-miR-6715b-5p,,,,,
AKAP11,0.038461538461538436,0.321,0.61,0.575,2,hsa-miR-548ah-5p,hsa-miR-548h-5p,,,,,
SEM1,0.038461538461538436,0.0543,0.61,0.19,2,hsa-miR-1225-3p,hsa-miR-548h-5p,,,,,
SENP2,0.038461538461538436,0.154,0.61,0.35,2,hsa-miR-4516,hsa-miR-6756-5p,,,,,
SERF1A,0.038461538461538436,0.0761,0.61,0.23,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
SERF1B,0.038461538461538436,0.082,0.61,0.24,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
SGMS2,0.038461538461538436,0.031,0.61,0.14,2,hsa-miR-548ah-5p,hsa-miR-6756-5p,,,,,
SFN,0.038461538461538436,0.168,0.61,0.37,2,hsa-miR-4516,hsa-miR-6756-5p,,,,,
SLC2A1,0.038461538461538436,0.088,0.61,0.25,2,hsa-miR-4516,hsa-miR-1225-3p,,,,,
SLC2A5,0.038461538461538436,0.091,0.61,0.255,2,hsa-miR-512-5p,hsa-miR-6815-5p,,,,,
SATB2,0.038461538461538436,0.179,0.61,0.385,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
SAR1B,0.038461538461538436,0.197,0.61,0.41,2,hsa-miR-4803,hsa-miR-520d-3p,,,,,
SNAP47,0.038461538461538436,0.14,0.61,0.33,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
SMAD5,0.038461538461538436,0.201,0.61,0.415,2,hsa-miR-548h-5p,hsa-miR-4511,,,,,
SLIT3,0.038461538461538436,0.0164,0.61,0.1,2,hsa-miR-4511,hsa-miR-922,,,,,
RRP36,0.038461538461538436,0.298,0.61,0.545,2,hsa-miR-6715b-5p,hsa-miR-6769b-5p,,,,,
SLIT1,0.038461538461538436,0.0595,0.61,0.2,2,hsa-miR-6769b-5p,hsa-miR-6734-3p,,,,,
SESN2,0.038461538461538436,0.283,0.61,0.525,2,hsa-miR-4474-3p,hsa-miR-1205,,,,,
SLC7A14,0.038461538461538436,0.0761,0.61,0.23,2,hsa-miR-4727-5p,hsa-miR-5582-5p,,,,,
AKT3,0.038461538461538436,0.088,0.61,0.25,2,hsa-miR-5582-5p,hsa-miR-29b-1-5p,,,,,
SLC7A1,0.038461538461538436,0.182,0.61,0.39,2,hsa-miR-1205,hsa-miR-6756-5p,,,,,
S100A16,0.038461538461538436,0.168,0.61,0.37,2,hsa-miR-6715b-5p,hsa-miR-6756-5p,,,,,
SAA1,0.038461538461538436,0.0232,0.61,0.12,2,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,,
SAMD12,0.038461538461538436,0.157,0.61,0.355,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
SLC5A3,0.038461538461538436,0.147,0.61,0.34,2,hsa-miR-548h-5p,hsa-miR-548ah-5p,,,,,
SLC4A2,0.038461538461538436,0.088,0.61,0.25,2,hsa-miR-4516,hsa-miR-1205,,,,,
SLC39A9,0.038461538461538436,0.147,0.61,0.34,2,hsa-miR-4474-3p,hsa-miR-3975,,,,,
SLC39A13,0.038461538461538436,0.00814,0.61,0.07,2,hsa-miR-1225-3p,hsa-miR-6734-3p,,,,,
SLC39A11,0.038461538461538436,0.1,0.61,0.27,2,hsa-miR-6734-3p,hsa-miR-922,,,,,
SLC35F5,0.038461538461538436,0.193,0.61,0.405,2,hsa-miR-1205,hsa-miR-520d-3p,,,,,
SLC35C2,0.038461538461538436,0.23,0.61,0.455,2,hsa-miR-6756-5p,hsa-miR-520d-3p,,,,,
TEDC1,0.038461538461538436,0.00501,0.61,0.055,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
BHMT2,0.038461538461538436,0.143,0.61,0.335,2,hsa-miR-6715b-5p,hsa-miR-520d-3p,,,,,
TERF2,0.038461538461538436,0.219,0.61,0.44,2,hsa-miR-1225-3p,hsa-miR-139-3p,,,,,
MYPN,0.038461538461538436,0.438,0.624,0.735,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
GGCX,0.038461538461538436,0.406,0.621,0.69,2,hsa-miR-3975,hsa-miR-512-5p,,,,,
SMG1,0.038461538461538436,0.406,0.621,0.69,2,hsa-miR-548h-5p,hsa-miR-548ah-5p,,,,,
SP1,0.038461538461538436,0.42,0.621,0.71,2,hsa-miR-922,hsa-miR-5582-5p,,,,,
ABCC6,0.038461538461538436,0.0941,0.61,0.26,2,hsa-miR-6769b-5p,hsa-miR-4516,,,,,
CDKN1B,0.038461538461538436,0.434,0.624,0.73,2,hsa-miR-6735-5p,hsa-miR-6734-3p,,,,,
HIC2,0.038461538461538436,0.434,0.624,0.73,2,hsa-miR-6756-5p,hsa-miR-6815-5p,,,,,
BZW1,0.038461538461538436,0.445,0.626,0.745,2,hsa-miR-548ah-5p,hsa-miR-4511,,,,,
CBX5,0.038461538461538436,0.413,0.621,0.7,2,hsa-miR-6735-5p,hsa-miR-520d-3p,,,,,
CREBRF,0.038461538461538436,0.448,0.626,0.75,2,hsa-miR-520d-3p,hsa-miR-5582-5p,,,,,
DCTN5,0.038461538461538436,0.452,0.626,0.755,2,hsa-miR-922,hsa-miR-520d-3p,,,,,
MSANTD4,0.038461538461538436,0.452,0.626,0.755,2,hsa-miR-548ah-5p,hsa-miR-548h-5p,,,,,
POU2F1,0.038461538461538436,0.448,0.626,0.75,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
PKM,0.038461538461538436,0.482,0.628,0.8,2,hsa-miR-1205,hsa-miR-6756-5p,,,,,
SLC35F6,0.038461538461538436,0.476,0.628,0.79,2,hsa-miR-1205,hsa-miR-520d-3p,,,,,
DSTYK,0.038461538461538436,0.409,0.621,0.695,2,hsa-miR-922,hsa-miR-520d-3p,,,,,
BACH1,0.038461538461538436,0.42,0.621,0.71,2,hsa-miR-520d-3p,hsa-miR-548h-5p,,,,,
VEGFA,0.038461538461538436,0.362,0.61,0.63,2,hsa-miR-6756-5p,hsa-miR-6769b-5p,,,,,
GAN,0.038461538461538436,0.395,0.619,0.675,2,hsa-miR-6735-5p,hsa-miR-6756-5p,,,,,
CRKL,0.038461538461538436,0.373,0.612,0.645,2,hsa-miR-922,hsa-miR-1205,,,,,
MPLKIP,0.038461538461538436,0.373,0.612,0.645,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
ZBTB34,0.038461538461538436,0.373,0.612,0.645,2,hsa-miR-520d-3p,hsa-miR-134-3p,,,,,
SETD5,0.038461538461538436,0.377,0.615,0.65,2,hsa-miR-6756-5p,hsa-miR-139-3p,,,,,
GJD3,0.038461538461538436,0.38,0.616,0.655,2,hsa-miR-4474-3p,hsa-miR-548ah-5p,,,,,
ANKRD52,0.038461538461538436,0.387,0.619,0.665,2,hsa-miR-548ah-5p,hsa-miR-4516,,,,,
LARP1,0.038461538461538436,0.391,0.619,0.67,2,hsa-miR-548ah-5p,hsa-miR-6756-5p,,,,,
HAUS3,0.038461538461538436,0.402,0.621,0.685,2,hsa-miR-922,hsa-miR-378c,,,,,
PHB2,0.038461538461538436,0.384,0.619,0.66,2,hsa-miR-548h-5p,hsa-miR-6734-3p,,,,,
RCC2,0.038461538461538436,0.395,0.619,0.675,2,hsa-miR-548h-5p,hsa-miR-378c,,,,,
SRCAP,0.038461538461538436,0.395,0.619,0.675,2,hsa-miR-520d-3p,hsa-miR-6735-5p,,,,,
ZBTB8B,0.038461538461538436,0.395,0.619,0.675,2,hsa-miR-512-5p,hsa-miR-922,,,,,
ZNF708,0.038461538461538436,0.384,0.619,0.66,2,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,,
ABCG8,0.038461538461538436,0.398,0.619,0.68,2,hsa-miR-520d-3p,hsa-miR-922,,,,,
ZBTB18,0.038461538461538436,0.462,0.628,0.77,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
CBX6,0.038461538461538436,0.486,0.629,0.805,2,hsa-miR-6735-5p,hsa-miR-6756-5p,,,,,
G3BP1,0.038461538461538436,0.486,0.629,0.805,2,hsa-miR-5582-5p,hsa-miR-548h-5p,,,,,
SFT2D2,0.038461538461538436,0.623,0.679,1.03,2,hsa-miR-6715b-5p,hsa-miR-548ah-5p,,,,,
CDK6,0.038461538461538436,0.571,0.651,0.94,2,hsa-miR-512-5p,hsa-miR-922,,,,,
KHSRP,0.038461538461538436,0.568,0.651,0.935,2,hsa-miR-6756-5p,hsa-miR-548h-5p,,,,,
TNRC6A,0.038461538461538436,0.571,0.651,0.94,2,hsa-miR-6756-5p,hsa-miR-922,,,,,
PLAGL2,0.038461538461538436,0.574,0.654,0.945,2,hsa-miR-548h-5p,hsa-miR-6735-5p,,,,,
CRCP,0.038461538461538436,0.589,0.66,0.97,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
YOD1,0.038461538461538436,0.609,0.671,1.01,2,hsa-miR-548h-5p,hsa-miR-520d-3p,,,,,
CELF1,0.038461538461538436,0.628,0.681,1.04,2,hsa-miR-4727-5p,hsa-miR-6734-3p,,,,,
SYNJ2BP,0.038461538461538436,0.492,0.629,0.815,2,hsa-miR-6734-3p,hsa-miR-520d-3p,,,,,
LINC00598,0.038461538461538436,0.631,0.682,1.05,2,hsa-miR-4727-5p,hsa-miR-520d-3p,,,,,
HDGF,0.038461538461538436,0.644,0.69,1.07,2,hsa-miR-6756-5p,hsa-miR-4474-3p,,,,,
ZNF264,0.038461538461538436,0.696,0.725,1.18,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
BTG2,0.038461538461538436,0.723,0.743,1.24,2,hsa-miR-548ah-5p,hsa-miR-4803,,,,,
CCND1,0.038461538461538436,0.732,0.751,1.26,2,hsa-miR-548ah-5p,hsa-miR-4803,,,,,
KLHL15,0.038461538461538436,0.801,0.809,1.44,2,hsa-miR-922,hsa-miR-548ah-5p,,,,,
COX6B1,0.038461538461538436,0.559,0.647,0.92,2,hsa-miR-520d-3p,hsa-miR-4474-3p,,,,,
UBN2,0.038461538461538436,0.556,0.646,0.915,2,hsa-miR-520d-3p,hsa-miR-4803,,,,,
MAPK1,0.038461538461538436,0.556,0.646,0.915,2,hsa-miR-6734-3p,hsa-miR-548ah-5p,,,,,
ARPP19,0.038461538461538436,0.556,0.646,0.915,2,hsa-miR-6735-5p,hsa-miR-1225-3p,,,,,
AGO3,0.038461538461538436,0.553,0.645,0.91,2,hsa-miR-520d-3p,hsa-miR-4727-5p,,,,,
CYP20A1,0.038461538461538436,0.55,0.644,0.905,2,hsa-miR-548h-5p,hsa-miR-378c,,,,,
SCD,0.038461538461538436,0.547,0.643,0.9,2,hsa-miR-548ah-5p,hsa-miR-4511,,,,,
ASB16,0.038461538461538436,0.547,0.643,0.9,2,hsa-miR-6769b-5p,hsa-miR-520d-3p,,,,,
CCND2,0.038461538461538436,0.544,0.641,0.895,2,hsa-miR-520d-3p,hsa-miR-4516,,,,,
RPL7L1,0.038461538461538436,0.541,0.64,0.89,2,hsa-miR-548h-5p,hsa-miR-6715b-5p,,,,,
PURB,0.038461538461538436,0.541,0.64,0.89,2,hsa-miR-1225-3p,hsa-miR-548ah-5p,,,,,
PPP1R15B,0.038461538461538436,0.515,0.632,0.85,2,hsa-miR-29b-1-5p,hsa-miR-548ah-5p,,,,,
FAM241A,0.038461538461538436,0.528,0.632,0.87,2,hsa-miR-6715b-5p,hsa-miR-520d-3p,,,,,
DNAL1,0.038461538461538436,0.512,0.632,0.845,2,hsa-miR-139-3p,hsa-miR-520d-3p,,,,,
SOX4,0.038461538461538436,0.509,0.632,0.84,2,hsa-miR-139-3p,hsa-miR-4516,,,,,
CACNG8,0.038461538461538436,0.499,0.63,0.825,2,hsa-miR-378c,hsa-miR-512-5p,,,,,
YY1,0.038461538461538436,0.486,0.629,0.805,2,hsa-miR-378c,hsa-miR-139-3p,,,,,
ZNF207,0.038461538461538436,0.358,0.61,0.625,2,hsa-miR-548h-5p,hsa-miR-6734-3p,,,,,
SUMO1,0.038461538461538436,0.358,0.61,0.625,2,hsa-miR-6756-5p,hsa-miR-4516,,,,,
TEX261,0.038461538461538436,0.212,0.61,0.43,2,hsa-miR-6756-5p,hsa-miR-1225-3p,,,,,
TPRG1L,0.038461538461538436,0.175,0.61,0.38,2,hsa-miR-548ah-5p,hsa-miR-4511,,,,,
TNFRSF10B,0.038461538461538436,0.298,0.61,0.545,2,hsa-miR-520d-3p,hsa-miR-1225-3p,,,,,
TNFRSF21,0.038461538461538436,0.082,0.61,0.24,2,hsa-miR-548ah-5p,hsa-miR-4516,,,,,
TNKS2,0.038461538461538436,0.0622,0.61,0.205,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
TOLLIP,0.038461538461538436,0.0164,0.61,0.1,2,hsa-miR-1225-3p,hsa-miR-3975,,,,,
TOR2A,0.038461538461538436,0.245,0.61,0.475,2,hsa-miR-1205,hsa-miR-6815-5p,,,,,
TOR4A,0.038461538461538436,0.161,0.61,0.36,2,hsa-miR-4516,hsa-miR-5582-5p,,,,,
ADM,0.038461538461538436,0.179,0.61,0.385,2,hsa-miR-3975,hsa-miR-6769b-5p,,,,,
TMUB1,0.038461538461538436,0.00501,0.61,0.055,2,hsa-miR-1250-5p,hsa-miR-922,,,,,
TRAPPC2,0.038461538461538436,0.321,0.61,0.575,2,hsa-miR-548ah-5p,hsa-miR-6769b-5p,,,,,
TSKU,0.038461538461538436,0.291,0.61,0.535,2,hsa-miR-4511,hsa-miR-4803,,,,,
TTYH3,0.038461538461538436,0.107,0.61,0.28,2,hsa-miR-6735-5p,hsa-miR-6815-5p,,,,,
TUBD1,0.038461538461538436,0.193,0.61,0.405,2,hsa-miR-6715b-5p,hsa-miR-139-3p,,,,,
TXLNA,0.038461538461538436,0.234,0.61,0.46,2,hsa-miR-6756-5p,hsa-miR-6715b-5p,,,,,
ADH5,0.038461538461538436,0.15,0.61,0.345,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
TNFAIP1,0.038461538461538436,0.107,0.61,0.28,2,hsa-miR-4516,hsa-miR-1205,,,,,
TMEM246,0.038461538461538436,0.13,0.61,0.315,2,hsa-miR-6734-3p,hsa-miR-4474-3p,,,,,
POTEM,0.038461538461538436,0.354,0.61,0.62,2,hsa-miR-134-3p,hsa-miR-6735-5p,,,,,
TMED10,0.038461538461538436,0.283,0.61,0.525,2,hsa-miR-4474-3p,hsa-miR-1205,,,,,
TFAP4,0.038461538461538436,0.175,0.61,0.38,2,hsa-miR-520d-3p,hsa-miR-6756-5p,,,,,
THBS1,0.038461538461538436,0.245,0.61,0.475,2,hsa-miR-6756-5p,hsa-miR-1205,,,,,
THEM4,0.038461538461538436,0.085,0.61,0.245,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
THY1,0.038461538461538436,0.0397,0.61,0.16,2,hsa-miR-139-3p,hsa-miR-6715b-5p,,,,,
TIPIN,0.038461538461538436,0.1,0.61,0.27,2,hsa-miR-1225-3p,hsa-miR-3975,,,,,
TM9SF3,0.038461538461538436,0.279,0.61,0.52,2,hsa-miR-548h-5p,hsa-miR-922,,,,,
TMED4,0.038461538461538436,0.343,0.61,0.605,2,hsa-miR-6769b-5p,hsa-miR-512-5p,,,,,
TMEM239,0.038461538461538436,0.238,0.61,0.465,2,hsa-miR-6769b-5p,hsa-miR-3975,,,,,
TMEM120B,0.038461538461538436,0.313,0.61,0.565,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
TMEM127,0.038461538461538436,0.306,0.61,0.555,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
TMEM134,0.038461538461538436,0.0761,0.61,0.23,2,hsa-miR-520d-3p,hsa-miR-512-5p,,,,,
TMEM167A,0.038461538461538436,0.347,0.61,0.61,2,hsa-miR-6756-5p,hsa-miR-4516,,,,,
TMEM170A,0.038461538461538436,0.283,0.61,0.525,2,hsa-miR-6815-5p,hsa-miR-139-3p,,,,,
TMEM19,0.038461538461538436,0.079,0.61,0.235,2,hsa-miR-3975,hsa-miR-520d-3p,,,,,
ACVR2B,0.038461538461538436,0.219,0.61,0.44,2,hsa-miR-29b-1-5p,hsa-miR-134-3p,,,,,
UBE2Q1,0.038461538461538436,0.147,0.61,0.34,2,hsa-miR-6769b-5p,hsa-miR-6815-5p,,,,,
UHMK1,0.038461538461538436,0.328,0.61,0.585,2,hsa-miR-105-3p,hsa-miR-548h-5p,,,,,
ZNF805,0.038461538461538436,0.325,0.61,0.58,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
ZNF317,0.038461538461538436,0.26,0.61,0.495,2,hsa-miR-1205,hsa-miR-520d-3p,,,,,
ZNF623,0.038461538461538436,0.216,0.61,0.435,2,hsa-miR-548ah-5p,hsa-miR-4511,,,,,
ZNF678,0.038461538461538436,0.283,0.61,0.525,2,hsa-miR-5582-5p,hsa-miR-4474-3p,,,,,
ZNF711,0.038461538461538436,0.157,0.61,0.355,2,hsa-miR-548h-5p,hsa-miR-4803,,,,,
ZNF724,0.038461538461538436,0.157,0.61,0.355,2,hsa-miR-548h-5p,hsa-miR-512-5p,,,,,
ZNF774,0.038461538461538436,0.079,0.61,0.235,2,hsa-miR-3975,hsa-miR-4516,,,,,
ZNF84,0.038461538461538436,0.031,0.61,0.14,2,hsa-miR-4516,hsa-miR-4803,,,,,
VSIR,0.038461538461538436,0.0444,0.61,0.17,2,hsa-miR-6756-5p,hsa-miR-922,,,,,
ZNFX1,0.038461538461538436,0.123,0.61,0.305,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
DR1,0.038461538461538436,0.365,0.61,0.635,2,hsa-miR-548h-5p,hsa-miR-512-5p,,,,,
FRK,0.038461538461538436,0.365,0.61,0.635,2,hsa-miR-6735-5p,hsa-miR-6715b-5p,,,,,
GRPEL2,0.038461538461538436,0.358,0.61,0.625,2,hsa-miR-548h-5p,hsa-miR-4803,,,,,
HSD17B12,0.038461538461538436,0.362,0.61,0.63,2,hsa-miR-1205,hsa-miR-4474-3p,,,,,
POTEG,0.038461538461538436,0.358,0.61,0.625,2,hsa-miR-134-3p,hsa-miR-6735-5p,,,,,
ZNF154,0.038461538461538436,0.298,0.61,0.545,2,hsa-miR-548h-5p,hsa-miR-922,,,,,
ZNF12,0.038461538461538436,0.179,0.61,0.385,2,hsa-miR-4516,hsa-miR-520d-3p,,,,,
ZMIZ2,0.038461538461538436,0.103,0.61,0.275,2,hsa-miR-139-3p,hsa-miR-6815-5p,,,,,
ZFYVE26,0.038461538461538436,0.123,0.61,0.305,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
ZDHHC5,0.038461538461538436,0.126,0.61,0.31,2,hsa-miR-6734-3p,hsa-miR-29b-1-5p,,,,,
ZCCHC2,0.038461538461538436,0.0972,0.61,0.265,2,hsa-miR-548ah-5p,hsa-miR-4803,,,,,
ZBTB40,0.038461538461538436,0.0468,0.61,0.175,2,hsa-miR-6815-5p,hsa-miR-6734-3p,,,,,
ABHD17B,0.038461538461538436,0.082,0.61,0.24,2,hsa-miR-548ah-5p,hsa-miR-512-5p,,,,,
YWHAB,0.038461538461538436,0.143,0.61,0.335,2,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,,
YTHDF3,0.038461538461538436,0.029,0.61,0.135,2,hsa-miR-548ah-5p,hsa-miR-6735-5p,,,,,
ABL1,0.038461538461538436,0.133,0.61,0.32,2,hsa-miR-4511,hsa-miR-6815-5p,,,,,
YARS,0.038461538461538436,0.164,0.61,0.365,2,hsa-miR-4516,hsa-miR-922,,,,,
XRCC6,0.038461538461538436,0.204,0.61,0.42,2,hsa-miR-548h-5p,hsa-miR-6715b-5p,,,,,
WNK1,0.038461538461538436,0.302,0.61,0.55,2,hsa-miR-134-3p,hsa-miR-3975,,,,,
WDR13,0.038461538461538436,0.168,0.61,0.37,2,hsa-miR-548ah-5p,hsa-miR-139-3p,,,,,
WBP2,0.038461538461538436,0.201,0.61,0.415,2,hsa-miR-922,hsa-miR-6815-5p,,,,,
WASF2,0.038461538461538436,0.317,0.61,0.57,2,hsa-miR-6734-3p,hsa-miR-5582-5p,,,,,
TOB2,0.038461538461538436,0.26,0.61,0.495,2,hsa-miR-6756-5p,hsa-miR-6815-5p,,,,,
PMPCA,0.038461538461538436,0.175,0.61,0.38,2,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,,
RBPJ,0.038461538461538436,0.193,0.61,0.405,2,hsa-miR-548ah-5p,hsa-miR-4474-3p,,,,,
EXTL3,0.038461538461538436,0.116,0.61,0.295,2,hsa-miR-4474-3p,hsa-miR-134-3p,,,,,
FLVCR1,0.038461538461538436,0.219,0.61,0.44,2,hsa-miR-4803,hsa-miR-6715b-5p,,,,,
FLCN,0.038461538461538436,0.179,0.61,0.385,2,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,,
BBC3,0.038461538461538436,0.164,0.61,0.365,2,hsa-miR-1225-3p,hsa-miR-6769b-5p,,,,,
FGF7,0.038461538461538436,0.0164,0.61,0.1,2,hsa-miR-4727-5p,hsa-miR-520d-3p,,,,,
FGF5,0.038461538461538436,0.0353,0.61,0.15,2,hsa-miR-6815-5p,hsa-miR-4511,,,,,
BBS5,0.038461538461538436,0.133,0.61,0.32,2,hsa-miR-6734-3p,hsa-miR-6715b-5p,,,,,
FBXO45,0.038461538461538436,0.116,0.61,0.295,2,hsa-miR-6769b-5p,hsa-miR-6756-5p,,,,,
FBRS,0.038461538461538436,0.26,0.61,0.495,2,hsa-miR-4727-5p,hsa-miR-6734-3p,,,,,
FAM9C,0.038461538461538436,0.133,0.61,0.32,2,hsa-miR-520d-3p,hsa-miR-6734-3p,,,,,
FAM83C,0.038461538461538436,0.0164,0.61,0.1,2,hsa-miR-512-5p,hsa-miR-1225-3p,,,,,
FAM53C,0.038461538461538436,0.15,0.61,0.345,2,hsa-miR-548h-5p,hsa-miR-1225-3p,,,,,
FAM19A3,0.038461538461538436,0.00814,0.61,0.07,2,hsa-miR-134-3p,hsa-miR-4511,,,,,
FAM129B,0.038461538461538436,0.234,0.61,0.46,2,hsa-miR-4516,hsa-miR-922,,,,,
FAM109A,0.038461538461538436,0.0444,0.61,0.17,2,hsa-miR-5582-5p,hsa-miR-6715b-5p,,,,,
ETNK1,0.038461538461538436,0.223,0.61,0.445,2,hsa-miR-548h-5p,hsa-miR-520d-3p,,,,,
BAZ2A,0.038461538461538436,0.291,0.61,0.535,2,hsa-miR-3975,hsa-miR-512-5p,,,,,
ERGIC2,0.038461538461538436,0.257,0.61,0.49,2,hsa-miR-520d-3p,hsa-miR-548ah-5p,,,,,
EPS15L1,0.038461538461538436,0.0569,0.61,0.195,2,hsa-miR-4803,hsa-miR-548ah-5p,,,,,
EN2,0.038461538461538436,0.276,0.61,0.515,2,hsa-miR-922,hsa-miR-4516,,,,,
EMC3,0.038461538461538436,0.157,0.61,0.355,2,hsa-miR-6715b-5p,hsa-miR-5582-5p,,,,,
BCAS4,0.038461538461538436,0.238,0.61,0.465,2,hsa-miR-1225-3p,hsa-miR-520d-3p,,,,,
ELAVL2,0.038461538461538436,0.14,0.61,0.33,2,hsa-miR-548ah-5p,hsa-miR-520d-3p,,,,,
EIF5AL1,0.038461538461538436,0.321,0.61,0.575,2,hsa-miR-4516,hsa-miR-6735-5p,,,,,
EIF4H,0.038461538461538436,0.253,0.61,0.485,2,hsa-miR-548ah-5p,hsa-miR-134-3p,,,,,
EIF3H,0.038461538461538436,0.0375,0.61,0.155,2,hsa-miR-5582-5p,hsa-miR-548ah-5p,,,,,
EIF2S3,0.038461538461538436,0.216,0.61,0.435,2,hsa-miR-6815-5p,hsa-miR-4474-3p,,,,,
EGF,0.038461538461538436,0.0214,0.61,0.115,2,hsa-miR-3975,hsa-miR-1225-3p,,,,,
DPP9,0.038461538461538436,0.088,0.61,0.25,2,hsa-miR-5582-5p,hsa-miR-520d-3p,,,,,
DOT1L,0.038461538461538436,0.0761,0.61,0.23,2,hsa-miR-512-5p,hsa-miR-6756-5p,,,,,
