"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"EED","0.145","0.458","0.156","1","hsa-miR-3155b","","","",""
"EFHC1","0.175","0.458","0.190","1","hsa-miR-3155b","","","",""
"EFNA3","0.170","0.458","0.185","1","hsa-miR-4472","","","",""
"EIF4EBP2","0.0725","0.458","0.225","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"ELAVL1","0.125","0.458","0.133","1","hsa-miR-139-3p","","","",""
"ELFN2","0.106","0.458","0.280","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"ELN","0.120","0.458","0.127","1","hsa-miR-4472","","","",""
"ELOVL7","0.120","0.458","0.127","1","hsa-miR-6895-3p","","","",""
"ELP2","0.0758","0.458","0.231","2","hsa-miR-3178","hsa-miR-3155b","","",""
"EN1","0.125","0.458","0.133","1","hsa-miR-139-3p","","","",""
"EPG5","0.208","0.458","0.231","1","hsa-miR-3178","","","",""
"EPHB4","0.135","0.458","0.144","1","hsa-miR-6895-3p","","","",""
"ERH","0.199","0.458","0.219","1","hsa-miR-548h-5p","","","",""
"ERP44","0.208","0.458","0.231","1","hsa-miR-937-5p","","","",""
"ESRRB","0.0508","0.458","0.0519","1","hsa-miR-6769b-5p","","","",""
"EXOG","0.0834","0.458","0.0866","1","hsa-miR-3155b","","","",""
"F2R","0.194","0.458","0.214","1","hsa-miR-4749-5p","","","",""
"FAM109A","0.180","0.458","0.196","1","hsa-miR-937-5p","","","",""
"FAM126B","0.194","0.458","0.407","2","hsa-miR-6857-3p","hsa-miR-4439","","",""
"FAM129B","0.0966","0.458","0.265","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"FAM136A","0.0214","0.458","0.115","2","hsa-miR-6769b-5p","hsa-miR-4647","","",""
"FAM162A","0.0834","0.458","0.0866","1","hsa-miR-139-3p","","","",""
"FAM184B","0.0453","0.458","0.0462","1","hsa-miR-139-3p","","","",""
"FAM214B","0.0508","0.458","0.0519","1","hsa-miR-6895-3p","","","",""
"FAM222B","0.184","0.458","0.202","1","hsa-miR-4462","","","",""
"FAR2","0.0993","0.458","0.104","1","hsa-miR-6895-3p","","","",""
"FARSA","0.170","0.458","0.185","1","hsa-miR-4472","","","",""
"FASTK","0.130","0.458","0.139","1","hsa-miR-4472","","","",""
"FBXO32","0.0398","0.458","0.0404","1","hsa-miR-4647","","","",""
"FEZ2","0.0834","0.458","0.0866","1","hsa-miR-4439","","","",""
"FGB","0.0993","0.458","0.104","1","hsa-miR-3155b","","","",""
"FGF9","0.155","0.458","0.167","1","hsa-miR-6895-3p","","","",""
"FGFR4","0.150","0.458","0.162","1","hsa-miR-4472","","","",""
"FLVCR1","0.0895","0.458","0.254","2","hsa-miR-937-5p","hsa-miR-4439","","",""
"FOXC1","0.0210","0.458","0.204","3","hsa-miR-139-3p","hsa-miR-4439","hsa-miR-6857-3p","",""
"FRY","0.199","0.458","0.219","1","hsa-miR-548h-5p","","","",""
"FSTL4","0.0224","0.458","0.118","2","hsa-miR-4472","hsa-miR-4647","","",""
"FTSJ3","0.175","0.458","0.190","1","hsa-miR-6769b-5p","","","",""
"FXYD1","0.150","0.458","0.162","1","hsa-miR-3178","","","",""
"G6PD","0.140","0.458","0.150","1","hsa-miR-6769b-5p","","","",""
"GATAD2A","0.117","0.458","0.297","2","hsa-miR-4472","hsa-miR-4749-5p","","",""
"GBP6","0.130","0.458","0.139","1","hsa-miR-3155b","","","",""
"GCLM","0.0993","0.458","0.104","1","hsa-miR-3155b","","","",""
"GDI1","0.0440","0.458","0.170","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"GDI2","0.0563","0.458","0.0577","1","hsa-miR-4647","","","",""
"GEM","0.130","0.458","0.139","1","hsa-miR-3155b","","","",""
"GEMIN2","0.0940","0.458","0.0981","1","hsa-miR-4647","","","",""
