Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
WEE1,0.03448275862068961,0.664,0.674,1.05,1,hsa-miR-4647,,,,
ZNF641,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-6769b-5p,,,,
ZBTB33,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-4647,,,,
XRCC6,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-548h-5p,,,,
HSPE1-MOB4,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-3155b,,,,
NHLRC2,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-6895-3p,,,,
SECISBP2L,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-6769b-5p,,,,
NCBP3,0.03448275862068961,0.401,0.496,0.502,1,hsa-miR-6895-3p,,,,
FNDC3B,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-4749-5p,,,,
DIP2A,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-6895-3p,,,,
SHOC2,0.03448275862068961,0.65,0.662,1.01,1,hsa-miR-4472,,,,
CDH7,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-3178,,,,
ZNF623,0.03448275862068961,0.401,0.496,0.502,1,hsa-miR-937-5p,,,,
PCNP,0.03448275862068961,0.401,0.496,0.502,1,hsa-miR-6857-3p,,,,
PEX26,0.03448275862068961,0.656,0.668,1.03,1,hsa-miR-4749-5p,,,,
SUSD1,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-139-3p,,,,
RPL7L1,0.03448275862068961,0.656,0.668,1.03,1,hsa-miR-548h-5p,,,,
ASB16,0.03448275862068961,0.66,0.672,1.04,1,hsa-miR-6769b-5p,,,,
FHL2,0.03448275862068961,0.401,0.496,0.502,1,hsa-miR-6895-3p,,,,
ZNF704,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-3155b,,,,
YES1,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-3178,,,,
TEX261,0.03448275862068961,0.397,0.494,0.496,1,hsa-miR-4472,,,,
ARPP19,0.03448275862068961,0.667,0.674,1.06,1,hsa-miR-6895-3p,,,,
SURF4,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-937-5p,,,,
HOOK3,0.03448275862068961,0.667,0.674,1.06,1,hsa-miR-3178,,,,
ABCF1,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-3155b,,,,
DDIT4,0.03448275862068961,0.383,0.491,0.473,1,hsa-miR-548h-5p,,,,
CRIPT,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-6895-3p,,,,
CPT1A,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-6869-3p,,,,
CCNB1,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-548h-5p,,,,
DR1,0.03448275862068961,0.529,0.559,0.733,1,hsa-miR-548h-5p,,,,
ARL8A,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-4749-5p,,,,
ZNF557,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-3155b,,,,
GTF2H5,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-548h-5p,,,,
ZNF284,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-4647,,,,
ZBTB8A,0.03448275862068961,0.375,0.49,0.462,1,hsa-miR-6895-3p,,,,
TUBD1,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-139-3p,,,,
TRIB1,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-4647,,,,
THBS2,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-6895-3p,,,,
SLC35F5,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-3155b,,,,
EFHD2,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-4749-5p,,,,
GTPBP2,0.03448275862068961,0.383,0.491,0.473,1,hsa-miR-548h-5p,,,,
UBN2,0.03448275862068961,0.667,0.674,1.06,1,hsa-miR-937-5p,,,,
RBM4B,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-548h-5p,,,,
SMAD5,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-548h-5p,,,,
SBF1,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-4749-5p,,,,
COX6B1,0.03448275862068961,0.669,0.676,1.06,1,hsa-miR-937-5p,,,,
SAR1B,0.03448275862068961,0.383,0.491,0.473,1,hsa-miR-6895-3p,,,,
KHSRP,0.03448275862068961,0.675,0.682,1.08,1,hsa-miR-548h-5p,,,,
ABI2,0.03448275862068961,0.677,0.682,1.09,1,hsa-miR-6769b-5p,,,,
PTGIS,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-3178,,,,
HNRNPC,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-139-3p,,,,
PTBP2,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-548h-5p,,,,
PDE3A,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-6895-3p,,,,
MKI67,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-548h-5p,,,,
METTL14,0.03448275862068961,0.386,0.491,0.479,1,hsa-miR-6769b-5p,,,,
MCF2L2,0.03448275862068961,0.383,0.491,0.473,1,hsa-miR-6895-3p,,,,
CDK6,0.03448275862068961,0.677,0.682,1.09,1,hsa-miR-4647,,,,
DNAL1,0.03448275862068961,0.636,0.649,0.975,1,hsa-miR-139-3p,,,,
FOSL1,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-4472,,,,
MKLN1,0.03448275862068961,0.436,0.508,0.56,1,hsa-miR-548h-5p,,,,
MOB4,0.03448275862068961,0.404,0.497,0.508,1,hsa-miR-3155b,,,,
PKM,0.03448275862068961,0.615,0.633,0.923,1,hsa-miR-4472,,,,
G3BP1,0.03448275862068961,0.618,0.635,0.929,1,hsa-miR-548h-5p,,,,
SYNJ2BP,0.03448275862068961,0.623,0.639,0.941,1,hsa-miR-3155b,,,,
PPIC,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-4647,,,,
CASTOR2,0.03448275862068961,0.625,0.64,0.947,1,hsa-miR-4472,,,,
OPA3,0.03448275862068961,0.425,0.505,0.543,1,hsa-miR-4462,,,,
NOA1,0.03448275862068961,0.425,0.505,0.543,1,hsa-miR-3155b,,,,
GPR155,0.03448275862068961,0.425,0.505,0.543,1,hsa-miR-3155b,,,,
FOSL2,0.03448275862068961,0.425,0.505,0.543,1,hsa-miR-6769b-5p,,,,
CTC1,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-4749-5p,,,,
ATP5G3,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-548h-5p,,,,
TMEM239,0.03448275862068961,0.422,0.504,0.537,1,hsa-miR-6769b-5p,,,,
SIK1,0.03448275862068961,0.422,0.504,0.537,1,hsa-miR-548h-5p,,,,
REEP3,0.03448275862068961,0.422,0.504,0.537,1,hsa-miR-139-3p,,,,
RAB15,0.03448275862068961,0.422,0.504,0.537,1,hsa-miR-4472,,,,
PPP6R1,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-6769b-5p,,,,
RPL41,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-6769b-5p,,,,
ZBTB37,0.03448275862068961,0.608,0.626,0.906,1,hsa-miR-548h-5p,,,,
ZBTB7A,0.03448275862068961,0.601,0.619,0.889,1,hsa-miR-139-3p,,,,
CLDN12,0.03448275862068961,0.436,0.508,0.56,1,hsa-miR-548h-5p,,,,
ATP6V0E1,0.03448275862068961,0.436,0.508,0.56,1,hsa-miR-3178,,,,
TIMM50,0.03448275862068961,0.432,0.507,0.554,1,hsa-miR-6895-3p,,,,
IL6ST,0.03448275862068961,0.432,0.507,0.554,1,hsa-miR-548h-5p,,,,
DFFA,0.03448275862068961,0.432,0.507,0.554,1,hsa-miR-4472,,,,
CLUAP1,0.03448275862068961,0.432,0.507,0.554,1,hsa-miR-3155b,,,,
CLN8,0.03448275862068961,0.432,0.507,0.554,1,hsa-miR-6895-3p,,,,
S1PR2,0.03448275862068961,0.425,0.505,0.543,1,hsa-miR-6895-3p,,,,
BRIX1,0.03448275862068961,0.432,0.507,0.554,1,hsa-miR-548h-5p,,,,
UNK,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-6857-3p,,,,
TOR2A,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-3155b,,,,
TLN1,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-4472,,,,
MDM4,0.03448275862068961,0.603,0.621,0.895,1,hsa-miR-3178,,,,
TIMM10,0.03448275862068961,0.429,0.505,0.548,1,hsa-miR-3155b,,,,
MCFD2,0.03448275862068961,0.422,0.504,0.537,1,hsa-miR-7846-3p,,,,
USP6NL,0.03448275862068961,0.418,0.502,0.531,1,hsa-miR-6895-3p,,,,
KIAA1551,0.03448275862068961,0.625,0.64,0.947,1,hsa-miR-4647,,,,
