Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
EPG5,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-3178,,,,
EPHB4,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-6895-3p,,,,
ERH,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-548h-5p,,,,
RRN3,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-4647,,,,
SAA1,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-6769b-5p,,,,
SLC5A5,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-6895-3p,,,,
ARHGAP31,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-4749-5p,,,,
CHEK1,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-139-3p,,,,
CEP89,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-3155b,,,,
CEP57L1,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-3178,,,,
C16orf72,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-6769b-5p,,,,
C11orf58,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-6769b-5p,,,,
ARHGAP39,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-4749-5p,,,,
AQP3,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-548h-5p,,,,
ZNF561,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-6769b-5p,,,,
APH1A,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-6769b-5p,,,,
APEX1,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-3155b,,,,
ANKRD45,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-4749-5p,,,,
AHSA2,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-6895-3p,,,,
AHCY,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-6895-3p,,,,
ACTR1A,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-7846-3p,,,,
CKAP2L,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-6857-3p,,,,
CLDN16,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-548h-5p,,,,
CLEC2D,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4647,,,,
CNDP1,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-139-3p,,,,
COPS7B,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-4462,,,,
CS,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-4647,,,,
CTCFL,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-548h-5p,,,,
CTXN1,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-4472,,,,
DDB1,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-548h-5p,,,,
DDX19A,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-139-3p,,,,
DLGAP3,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-4472,,,,
DNA2,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-3178,,,,
DOT1L,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-4472,,,,
EHD3,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-139-3p,,,,
EIF4EBP1,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-937-5p,,,,
EP300,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-4472,,,,
ERO1A,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-4462,,,,
ABHD5,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-548h-5p,,,,
ZER1,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-6769b-5p,,,,
FAM212B,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-4749-5p,,,,
TNRC18P2,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6769b-5p,,,,
ASNA1,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-6769b-5p,,,,
ARL13B,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-548h-5p,,,,
ZC3H11A,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6857-3p,,,,
TRIM10,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-4647,,,,
TPD52L2,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-937-5p,,,,
TOMM40L,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-3155b,,,,
TMEM199,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6895-3p,,,,
XKR9,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-548h-5p,,,,
STMN3,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-4472,,,,
SLC12A6,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-937-5p,,,,
PRELID1,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-548h-5p,,,,
PPP1R18,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-548h-5p,,,,
PPP1R10,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-4472,,,,
PKIA,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-139-3p,,,,
CD47,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-548h-5p,,,,
DNAAF3,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-3155b,,,,
HIST1H1E,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-6769b-5p,,,,
MPZL1,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-548h-5p,,,,
PNPO,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-139-3p,,,,
SETBP1,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-6769b-5p,,,,
SH3BGRL,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-548h-5p,,,,
SLC5A6,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-139-3p,,,,
TRUB1,0.03448275862068961,0.222,0.46,0.248,1,hsa-miR-4647,,,,
B2M,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-139-3p,,,,
DOCK11,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-4647,,,,
HLA-B,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-6895-3p,,,,
HOXA7,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-6769b-5p,,,,
PCGF5,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-548h-5p,,,,
PTPN9,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-6769b-5p,,,,
SIN3A,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-4472,,,,
SLC48A1,0.03448275862068961,0.226,0.461,0.254,1,hsa-miR-6895-3p,,,,
FAM168A,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-937-5p,,,,
FAM83H,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-139-3p,,,,
SCNN1G,0.03448275862068961,0.0672,0.458,0.0693,1,hsa-miR-937-5p,,,,
PLEKHA6,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-6895-3p,,,,
RAB14,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4647,,,,
PTPN1,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-548h-5p,,,,
PTGES3L,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-6769b-5p,,,,
PRRC1,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-548h-5p,,,,
PPARA,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-4647,,,,
PNMA8B,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-6769b-5p,,,,
OTUB1,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-4749-5p,,,,
MRPS14,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-6895-3p,,,,
OCRL,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-4462,,,,
NMNAT1,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-7846-3p,,,,
NLGN4X,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-139-3p,,,,
NFKBID,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-6895-3p,,,,
NEK7,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-548h-5p,,,,
NAB2,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-4472,,,,
RAI1,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4462,,,,
RCAN1,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-6895-3p,,,,
RDX,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-6895-3p,,,,
RETREG2,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-6769b-5p,,,,
RGPD4,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-548h-5p,,,,
RGS5,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4749-5p,,,,
RNF216,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-3155b,,,,
RPS16,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-937-5p,,,,
SCIMP,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-3155b,,,,
SCN2B,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-6895-3p,,,,
SCOC,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-4647,,,,
SCRG1,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-937-5p,,,,
SDK2,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-4472,,,,
SINHCAF,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-139-3p,,,,
SLC33A1,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-6857-3p,,,,
SLC47A1,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-4749-5p,,,,
SLC4A2,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-4472,,,,
MYH11,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-4472,,,,
MRPL44,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-4749-5p,,,,
FBXL13,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4647,,,,
GP5,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-7846-3p,,,,
HLA-C,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-4472,,,,
H2AFX,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-4749-5p,,,,
GRINA,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-4472,,,,
GRID1,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-6895-3p,,,,
GPR27,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-548h-5p,,,,
GPR173,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-6769b-5p,,,,
GNAI2,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4749-5p,,,,
MID1IP1,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-4472,,,,
GJD2,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-6895-3p,,,,
GEN1,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-4647,,,,
GEMIN4,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-937-5p,,,,
FRRS1,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-6895-3p,,,,
FKTN,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-6869-3p,,,,
FKBP15,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-6857-3p,,,,
HPRT1,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-548h-5p,,,,
IGFBP4,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-4472,,,,
IKZF5,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-548h-5p,,,,
INHBA,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-548h-5p,,,,
INIP,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-4647,,,,
IRAK3,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-3178,,,,
KCNH2,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-4647,,,,
KIAA0754,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-3178,,,,
KMT2B,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-4647,,,,
LEAP2,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-6895-3p,,,,
LETM1,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-7846-3p,,,,
M6PR,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-4647,,,,
MAF,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-4472,,,,
MAP2K1,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-548h-5p,,,,
MAP2K3,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-6769b-5p,,,,
MAP4,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-4472,,,,
METTL7A,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-6895-3p,,,,
OGFRL1,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-937-5p,,,,
MB21D1,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-3155b,,,,
KIAA1614,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-4647,,,,
ST6GAL1,0.03448275862068961,0.0726,0.458,0.075,1,hsa-miR-937-5p,,,,
STYK1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-6857-3p,,,,
STOML3,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-4472,,,,
STIL,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-3178,,,,
STAT5A,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-6895-3p,,,,
ST8SIA5,0.03448275862068961,0.0508,0.458,0.0519,1,hsa-miR-4439,,,,
ST6GALNAC1,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-3155b,,,,
SSFA2,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-4647,,,,
SP9,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-6895-3p,,,,
SS18L1,0.03448275862068961,0.0726,0.458,0.075,1,hsa-miR-3155b,,,,
SRRT,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-6857-3p,,,,
SRPX2,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-3178,,,,
SRPRB,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-4647,,,,
SPON2,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-4462,,,,
SPECC1L,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-4749-5p,,,,
SULF2,0.03448275862068961,0.0618,0.458,0.0635,1,hsa-miR-4439,,,,
SUV39H1,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4472,,,,
SVIP,0.03448275862068961,0.14,0.458,0.15,1,hsa-miR-3178,,,,
SYTL4,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-6895-3p,,,,
SZT2,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-6895-3p,,,,
TACC3,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-4749-5p,,,,
TAF1,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-3178,,,,
TAL1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-6895-3p,,,,
TARBP2,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-3155b,,,,
TBC1D28,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4472,,,,
TBX20,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-139-3p,,,,
TDRKH,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-6857-3p,,,,
TEX22,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-139-3p,,,,
TFAP2B,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-6895-3p,,,,
TG,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-937-5p,,,,
TGFA,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-4749-5p,,,,
THY1,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-139-3p,,,,
SPAG9,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-6895-3p,,,,
SOX12,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-7846-3p,,,,
H6PD,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6895-3p,,,,
SGTA,0.03448275862068961,0.0672,0.458,0.0693,1,hsa-miR-6895-3p,,,,
SLC25A23,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4472,,,,
SLC12A5,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-3178,,,,
SIX6,0.03448275862068961,0.104,0.458,0.11,1,hsa-miR-6895-3p,,,,
SIGLEC12,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-4749-5p,,,,
SHMT2,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-937-5p,,,,
SH3BGRL3,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-4749-5p,,,,
SGK3,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-3155b,,,,
SOWAHA,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-6769b-5p,,,,
SEPT6,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-3178,,,,
SEMA3F,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-4749-5p,,,,
SEM1,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-548h-5p,,,,
SDHAF1,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-7846-3p,,,,
SDAD1,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-548h-5p,,,,
SCRN1,0.03448275862068961,0.0834,0.458,0.0866,1,hsa-miR-4647,,,,
SLC25A43,0.03448275862068961,0.199,0.458,0.219,1,hsa-miR-6895-3p,,,,
SLC2A14,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6857-3p,,,,
SLC30A3,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-7846-3p,,,,
SLC38A4,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-139-3p,,,,
SLC41A2,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-6895-3p,,,,
SLC5A2,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-3155b,,,,
SLC6A6,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-6857-3p,,,,
SLC9A3,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-4749-5p,,,,
SLC9A3R2,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-6895-3p,,,,
SLC9A4,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-548h-5p,,,,
SLFN12,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-4472,,,,
SLIT1,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-6769b-5p,,,,
SMIM7,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-139-3p,,,,
SMOX,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-4472,,,,
SMTN,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4472,,,,
SNRNP27,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-139-3p,,,,
SORBS2,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-139-3p,,,,
TIMM17A,0.03448275862068961,0.17,0.458,0.185,1,hsa-miR-6895-3p,,,,
TIMP1,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4647,,,,
TM6SF1,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-548h-5p,,,,
ZKSCAN3,0.03448275862068961,0.189,0.458,0.208,1,hsa-miR-3178,,,,
ZNF549,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-4647,,,,
ZNF486,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-139-3p,,,,
ZNF395,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-548h-5p,,,,
ZNF282,0.03448275862068961,0.078,0.458,0.0808,1,hsa-miR-7846-3p,,,,
ZNF251,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-6769b-5p,,,,
ZMPSTE24,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-548h-5p,,,,
ZC3H12D,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-4472,,,,
TMEM105,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-3178,,,,
ZBTB22,0.03448275862068961,0.203,0.458,0.225,1,hsa-miR-6769b-5p,,,,
YIPF2,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-4749-5p,,,,
YIF1B,0.03448275862068961,0.0508,0.458,0.0519,1,hsa-miR-3178,,,,
XPO7,0.03448275862068961,0.0887,0.458,0.0923,1,hsa-miR-937-5p,,,,
XBP1P1,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-4647,,,,
WSCD2,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-6895-3p,,,,
ZNF550,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-139-3p,,,,
ZNF570,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-139-3p,,,,
ZNF574,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-6895-3p,,,,
ZNF576,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4439,,,,
ZNF589,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-139-3p,,,,
ZNF622,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-6895-3p,,,,
ZNF662,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-6895-3p,,,,
ZNF764,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-6769b-5p,,,,
ZSWIM7,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-139-3p,,,,
ACSM2B,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-548h-5p,,,,
ANKRD13B,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-4472,,,,
ATL2,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6769b-5p,,,,
CC2D1B,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-4749-5p,,,,
DAB2IP,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6769b-5p,,,,
DNLZ,0.03448275862068961,0.213,0.458,0.237,1,hsa-miR-6769b-5p,,,,
FAM135A,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-548h-5p,,,,
FAM20B,0.03448275862068961,0.217,0.458,0.242,1,hsa-miR-6895-3p,,,,
WNT16,0.03448275862068961,0.165,0.458,0.179,1,hsa-miR-4472,,,,
WDR91,0.03448275862068961,0.12,0.458,0.127,1,hsa-miR-3155b,,,,
WDR1,0.03448275862068961,0.115,0.458,0.121,1,hsa-miR-3178,,,,
TXNRD3NB,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4472,,,,
TMEM98,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-937-5p,,,,
TMX4,0.03448275862068961,0.135,0.458,0.144,1,hsa-miR-937-5p,,,,
TNFAIP8,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-6769b-5p,,,,
TNIP2,0.03448275862068961,0.208,0.458,0.231,1,hsa-miR-548h-5p,,,,
TNKS1BP1,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-4472,,,,
TOPBP1,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-3155b,,,,
TPRA1,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-548h-5p,,,,
TPST2,0.03448275862068961,0.155,0.458,0.167,1,hsa-miR-6895-3p,,,,
TRAF3,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-3178,,,,
TRAT1,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-3155b,,,,
TSPAN10,0.03448275862068961,0.0229,0.458,0.0231,1,hsa-miR-6869-3p,,,,
TTLL7,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-4647,,,,
TULP3,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-6769b-5p,,,,
TXNL4B,0.03448275862068961,0.175,0.458,0.19,1,hsa-miR-4472,,,,
UBE2I,0.03448275862068961,0.0993,0.458,0.104,1,hsa-miR-4647,,,,
WBP4,0.03448275862068961,0.194,0.458,0.214,1,hsa-miR-548h-5p,,,,
UBLCP1,0.03448275862068961,0.15,0.458,0.162,1,hsa-miR-6769b-5p,,,,
UCP2,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-139-3p,,,,
UGGT2,0.03448275862068961,0.11,0.458,0.115,1,hsa-miR-3155b,,,,
UNC45B,0.03448275862068961,0.0508,0.458,0.0519,1,hsa-miR-6895-3p,,,,
URGCP-MRPS24,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-139-3p,,,,
USP12,0.03448275862068961,0.145,0.458,0.156,1,hsa-miR-4472,,,,
USP12P1,0.03448275862068961,0.0563,0.458,0.0577,1,hsa-miR-6895-3p,,,,
USP9X,0.03448275862068961,0.184,0.458,0.202,1,hsa-miR-6895-3p,,,,
UTP11,0.03448275862068961,0.094,0.458,0.0981,1,hsa-miR-7846-3p,,,,
VCPIP1,0.03448275862068961,0.13,0.458,0.139,1,hsa-miR-4439,,,,
VKORC1,0.03448275862068961,0.0726,0.458,0.075,1,hsa-miR-3155b,,,,
VPS37D,0.03448275862068961,0.125,0.458,0.133,1,hsa-miR-4472,,,,
VSIR,0.03448275862068961,0.18,0.458,0.196,1,hsa-miR-4472,,,,
VWA1,0.03448275862068961,0.16,0.458,0.173,1,hsa-miR-139-3p,,,,
FOXK1,0.03448275862068961,0.794,0.794,1.49,1,hsa-miR-548h-5p,,,,
