"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"CBX2","0.0758","0.459","0.231","2","hsa-miR-646","hsa-miR-940","",""
"CDCP1","0.154","0.459","0.352","2","hsa-miR-1227-3p","hsa-miR-940","",""
"CENPN","0.0677","0.459","0.216","2","hsa-miR-940","hsa-miR-1470","",""
"CERS4","0.106","0.459","0.280","2","hsa-miR-4313","hsa-miR-940","",""
"CHAC1","0.146","0.459","0.341","2","hsa-miR-940","hsa-miR-646","",""
"CHEK1","0.0349","0.459","0.150","2","hsa-miR-1227-3p","hsa-miR-646","",""
"CLDN1","0.0166","0.459","0.101","2","hsa-miR-1224-5p","hsa-miR-1470","",""
"CRK","0.252","0.459","0.485","2","hsa-miR-646","hsa-miR-31-3p","",""
"CRKL","0.0351","0.459","0.248","3","hsa-miR-31-3p","hsa-miR-944","hsa-miR-940",""
"CTDSPL","0.0166","0.459","0.101","2","hsa-miR-646","hsa-miR-4258","",""
"CYCS","0.185","0.459","0.395","2","hsa-miR-4456","hsa-miR-940","",""
"CYP20A1","0.281","0.459","0.522","2","hsa-miR-940","hsa-miR-4258","",""
"DCTN5","0.215","0.459","0.436","2","hsa-miR-646","hsa-miR-1470","",""
"DCTN6","0.138","0.459","0.329","2","hsa-miR-6805-3p","hsa-miR-940","",""
"DDX3X","0.0278","0.459","0.227","3","hsa-miR-1224-5p","hsa-miR-1227-3p","hsa-miR-646",""
"DGKE","0.0349","0.459","0.150","2","hsa-miR-6805-3p","hsa-miR-4258","",""
"DNAJC10","0.316","0.459","0.568","2","hsa-miR-646","hsa-miR-940","",""
"DSN1","0.198","0.459","0.413","2","hsa-miR-944","hsa-miR-940","",""
"EIF2S3","0.0877","0.459","0.251","2","hsa-miR-944","hsa-miR-940","",""
"FADS1","0.0569","0.459","0.196","2","hsa-miR-1470","hsa-miR-6805-3p","",""
"FAM109A","0.0157","0.459","0.0981","2","hsa-miR-940","hsa-miR-4456","",""
"FAM229B","0.0645","0.459","0.211","2","hsa-miR-646","hsa-miR-1227-3p","",""
"FAM3C","0.0645","0.459","0.211","2","hsa-miR-1227-3p","hsa-miR-3181","",""
"FBXL18","0.0351","0.459","0.248","3","hsa-miR-1470","hsa-miR-4313","hsa-miR-646",""
"FBXO48","0.0482","0.459","0.179","2","hsa-miR-4313","hsa-miR-4258","",""
"FDFT1","0.0123","0.459","0.0866","2","hsa-miR-940","hsa-miR-4258","",""
"FOXK1","0.182","0.459","0.498","3","hsa-miR-944","hsa-miR-646","hsa-miR-940",""
"FYTTD1","0.0930","0.459","0.260","2","hsa-miR-940","hsa-miR-1227-3p","",""
"G3BP1","0.0113","0.459","0.232","4","hsa-miR-941","hsa-miR-6805-3p","hsa-miR-940","hsa-miR-1227-3p"
"GABRB1","0.0614","0.459","0.205","2","hsa-miR-31-3p","hsa-miR-940","",""
"GET4","0.00109","0.459","0.0260","2","hsa-miR-1470","hsa-miR-4258","",""
"GFPT1","0.0860","0.459","0.248","2","hsa-miR-646","hsa-miR-6805-3p","",""
"GOLIM4","0.0267","0.459","0.130","2","hsa-miR-940","hsa-miR-646","",""
"GSG1","0.0115","0.459","0.0837","2","hsa-miR-1227-3p","hsa-miR-646","",""
"GTF3C1","0.0539","0.459","0.190","2","hsa-miR-941","hsa-miR-940","",""
"HAUS3","0.185","0.459","0.395","2","hsa-miR-1227-3p","hsa-miR-940","",""
"HAVCR1","0.00274","0.459","0.0981","3","hsa-miR-944","hsa-miR-940","hsa-miR-1227-3p",""
"HEYL","0.0809","0.459","0.240","2","hsa-miR-940","hsa-miR-6880-3p","",""
"HMGN2","0.0631","0.459","0.314","3","hsa-miR-940","hsa-miR-1227-3p","hsa-miR-1470",""
"HRNR","0.0267","0.459","0.130","2","hsa-miR-940","hsa-miR-941","",""
"HS3ST1","0.0297","0.459","0.233","3","hsa-miR-6805-3p","hsa-miR-941","hsa-miR-4313",""
"HSPA6","0.0413","0.459","0.164","2","hsa-miR-31-3p","hsa-miR-941","",""
"HSPE1-MOB4","0.0860","0.459","0.248","2","hsa-miR-646","hsa-miR-944","",""
"IFFO2","0.0337","0.459","0.147","2","hsa-miR-1224-5p","hsa-miR-940","",""
"IRGQ","0.160","0.459","0.361","2","hsa-miR-940","hsa-miR-1227-3p","",""
"ISPD","0.0677","0.459","0.216","2","hsa-miR-940","hsa-miR-6805-3p","",""
"ITPKB","0.0234","0.459","0.121","2","hsa-miR-4313","hsa-miR-941","",""
"KCTD5","0.0234","0.459","0.121","2","hsa-miR-940","hsa-miR-6805-3p","",""
"KIAA1551","0.0641","0.459","0.316","3","hsa-miR-940","hsa-miR-4258","hsa-miR-1227-3p",""
"KIAA1958","0.0468","0.459","0.176","2","hsa-miR-1470","hsa-miR-4258","",""
