Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
UNC5B,0.0742,0.458,0.228,2,hsa-miR-6895-3p,hsa-miR-6769b-5p,,,
SPART,0.0194,0.458,0.11,2,hsa-miR-937-5p,hsa-miR-6769b-5p,,,
FBXL4,0.00166,0.332,0.0317,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FBXO33,0.00234,0.332,0.0375,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FKRP,0.00556,0.332,0.0577,2,hsa-miR-4439,hsa-miR-6857-3p,,,
INO80B,0.00272,0.332,0.0404,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KAT6B,0.00402,0.332,0.0491,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KIAA0040,0.00556,0.332,0.0577,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MICALL1,0.00451,0.332,0.0519,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RBBP5,0.00502,0.332,0.0548,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RBX1,0.00234,0.332,0.0375,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RFC5,0.00502,0.332,0.0548,2,hsa-miR-4439,hsa-miR-6857-3p,,,
UPF3A,0.00402,0.332,0.0491,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SSX5,0.00613,0.341,0.0606,2,hsa-miR-4439,hsa-miR-6857-3p,,,
F8A2,0.00933,0.405,0.075,2,hsa-miR-4439,hsa-miR-6857-3p,,,
F8A3,0.01,0.405,0.0779,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FGF1,0.00864,0.405,0.0721,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FMO4,0.0108,0.405,0.0808,2,hsa-miR-4439,hsa-miR-6857-3p,,,
HSPD1,0.01,0.405,0.0779,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CHCHD3,0.0115,0.415,0.0837,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MOB1A,0.0123,0.415,0.0866,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SH2D5,0.0123,0.415,0.0866,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TOMM5,0.0123,0.415,0.0866,2,hsa-miR-4439,hsa-miR-6857-3p,,,
AP5M1,0.0157,0.448,0.0981,2,hsa-miR-4439,hsa-miR-6857-3p,,,
BRD2,0.0157,0.448,0.0981,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TRPC4AP,0.0148,0.448,0.0952,2,hsa-miR-4439,hsa-miR-6857-3p,,,
AKR7A2,0.167,0.458,0.369,2,hsa-miR-4439,hsa-miR-6857-3p,,,
BNC2,0.0454,0.458,0.173,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CADM2,0.0539,0.458,0.19,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CMTM4,0.0413,0.458,0.164,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CMTM6,0.0362,0.458,0.153,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CYP4F11,0.0194,0.458,0.11,2,hsa-miR-4439,hsa-miR-6857-3p,,,
DBN1,0.044,0.458,0.17,2,hsa-miR-4439,hsa-miR-6857-3p,,,
DCP2,0.0468,0.458,0.176,2,hsa-miR-4439,hsa-miR-6857-3p,,,
EIF4EBP2,0.0725,0.458,0.225,2,hsa-miR-4439,hsa-miR-6857-3p,,,
ELFN2,0.106,0.458,0.28,2,hsa-miR-4439,hsa-miR-6857-3p,,,
FAM129B,0.0966,0.458,0.265,2,hsa-miR-4439,hsa-miR-6857-3p,,,
GOLGA8A,0.0234,0.458,0.121,2,hsa-miR-4439,hsa-miR-6857-3p,,,
GOLGA8B,0.0374,0.458,0.156,2,hsa-miR-4439,hsa-miR-6857-3p,,,
IL17REL,0.0278,0.458,0.133,2,hsa-miR-4439,hsa-miR-6857-3p,,,
