Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
PTPRN2,0.017857142857142905,0.195,0.592,0.215,1,hsa-miR-371b-5p,,,,,,
PUS3,0.017857142857142905,0.23,0.592,0.259,1,hsa-miR-5585-3p,,,,,,
PRSS21,0.017857142857142905,0.325,0.592,0.388,1,hsa-miR-4524b-5p,,,,,,
PRPF4B,0.017857142857142905,0.317,0.592,0.377,1,hsa-miR-5585-3p,,,,,,
PRND,0.017857142857142905,0.16,0.592,0.172,1,hsa-miR-7703,,,,,,
PRMT7,0.017857142857142905,0.221,0.592,0.248,1,hsa-miR-6829-3p,,,,,,
PORCN,0.017857142857142905,0.122,0.592,0.129,1,hsa-miR-7854-3p,,,,,,
POU3F3,0.017857142857142905,0.263,0.592,0.302,1,hsa-miR-6722-3p,,,,,,
POU5F1,0.017857142857142905,0.122,0.592,0.129,1,hsa-miR-412-3p,,,,,,
PPARGC1A,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-5585-3p,,,,,,
PPIE,0.017857142857142905,0.141,0.592,0.151,1,hsa-miR-4722-3p,,,,,,
PPM1N,0.017857142857142905,0.187,0.592,0.205,1,hsa-miR-1253,,,,,,
PPP1R37,0.017857142857142905,0.238,0.592,0.269,1,hsa-miR-7703,,,,,,
PPP1R3D,0.017857142857142905,0.263,0.592,0.302,1,hsa-miR-4282,,,,,,
PPP2R5D,0.017857142857142905,0.287,0.592,0.334,1,hsa-miR-6722-3p,,,,,,
PPP4C,0.017857142857142905,0.0731,0.592,0.0754,1,hsa-miR-1229-3p,,,,,,
PRDM10,0.017857142857142905,0.31,0.592,0.366,1,hsa-miR-4282,,,,,,
PRDM4,0.017857142857142905,0.255,0.592,0.291,1,hsa-miR-4524b-5p,,,,,,
PRDX4,0.017857142857142905,0.063,0.592,0.0646,1,hsa-miR-1229-3p,,,,,,
PRKG2,0.017857142857142905,0.302,0.592,0.356,1,hsa-miR-548h-5p,,,,,,
PRKRIP1,0.017857142857142905,0.122,0.592,0.129,1,hsa-miR-1229-3p,,,,,,
RAB17,0.017857142857142905,0.187,0.592,0.205,1,hsa-miR-4749-5p,,,,,,
RAB31,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-1229-3p,,,,,,
RAB3D,0.017857142857142905,0.255,0.592,0.291,1,hsa-miR-7703,,,,,,
RBM33,0.017857142857142905,0.287,0.592,0.334,1,hsa-miR-6802-3p,,,,,,
RBMXL1,0.017857142857142905,0.339,0.592,0.409,1,hsa-miR-5587-5p,,,,,,
RBMY1A1,0.017857142857142905,0.032,0.592,0.0323,1,hsa-miR-5585-3p,,,,,,
RBMY1B,0.017857142857142905,0.032,0.592,0.0323,1,hsa-miR-5585-3p,,,,,,
RBMY1D,0.017857142857142905,0.0424,0.592,0.0431,1,hsa-miR-5585-3p,,,,,,
RBMY1E,0.017857142857142905,0.032,0.592,0.0323,1,hsa-miR-5585-3p,,,,,,
RBMY1F,0.017857142857142905,0.0528,0.592,0.0539,1,hsa-miR-5585-3p,,,,,,
RBMY1J,0.017857142857142905,0.032,0.592,0.0323,1,hsa-miR-5585-3p,,,,,,
RCOR3,0.017857142857142905,0.093,0.592,0.097,1,hsa-miR-5585-3p,,,,,,
REEP2,0.017857142857142905,0.187,0.592,0.205,1,hsa-miR-6829-3p,,,,,,
REG3A,0.017857142857142905,0.113,0.592,0.119,1,hsa-miR-4749-5p,,,,,,
RERE,0.017857142857142905,0.132,0.592,0.14,1,hsa-miR-4722-3p,,,,,,
REV3L,0.017857142857142905,0.263,0.592,0.302,1,hsa-miR-4282,,,,,,
RFESD,0.017857142857142905,0.0731,0.592,0.0754,1,hsa-miR-7854-3p,,,,,,
RFFL,0.017857142857142905,0.302,0.592,0.356,1,hsa-miR-371b-5p,,,,,,
RFWD3,0.017857142857142905,0.287,0.592,0.334,1,hsa-miR-6769b-5p,,,,,,
RBMS3,0.017857142857142905,0.238,0.592,0.269,1,hsa-miR-4282,,,,,,
