Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
DCTN6,0.017857142857142905,0.717,0.74,1.23,1,hsa-miR-371b-5p,,,,,,
PPP1R11,0.017857142857142905,0.653,0.694,1.03,1,hsa-miR-4524b-5p,,,,,,
ARL6IP1,0.017857142857142905,0.723,0.745,1.25,1,hsa-miR-1229-3p,,,,,,
ITPRIPL2,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-7703,,,,,,
LIPG,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-371b-5p,,,,,,
ORC4,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-4524b-5p,,,,,,
SMAD4,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-371b-5p,,,,,,
THAP1,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-4722-3p,,,,,,
TMTC1,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-7854-3p,,,,,,
ZNF701,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-412-3p,,,,,,
ZNF850,0.017857142857142905,0.625,0.676,0.959,1,hsa-miR-7703,,,,,,
FAM217B,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-4282,,,,,,
UBE2H,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-548h-5p,,,,,,
KCNJ6,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-218-2-3p,,,,,,
LYRM4,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-7703,,,,,,
MAP2K7,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-6722-3p,,,,,,
NUCB1,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-6769b-5p,,,,,,
PTPRF,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-1229-3p,,,,,,
TRAF1,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-6829-3p,,,,,,
YTHDC1,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-4524b-5p,,,,,,
ZCCHC3,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-4749-5p,,,,,,
ZYG11B,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-4282,,,,,,
SYNCRIP,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-548h-5p,,,,,,
CHMP1B,0.017857142857142905,0.633,0.681,0.98,1,hsa-miR-7854-3p,,,,,,
EIF2S3,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-371b-5p,,,,,,
SECISBP2L,0.017857142857142905,0.612,0.668,0.927,1,hsa-miR-6769b-5p,,,,,,
ZNF704,0.017857142857142905,0.612,0.668,0.927,1,hsa-miR-4524b-5p,,,,,,
RORA,0.017857142857142905,0.727,0.747,1.26,1,hsa-miR-449c-3p,,,,,,
AMER1,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-3130-3p,,,,,,
C16orf58,0.017857142857142905,0.727,0.747,1.26,1,hsa-miR-5591-5p,,,,,,
BTBD3,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-1253,,,,,,
CCSER2,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-371b-5p,,,,,,
CD226,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-7703,,,,,,
GLP2R,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-4524b-5p,,,,,,
SORCS2,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-4722-3p,,,,,,
PCNP,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-7703,,,,,,
WDR92,0.017857142857142905,0.616,0.67,0.937,1,hsa-miR-4722-3p,,,,,,
BTG1,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-4282,,,,,,
CDC5L,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-7703,,,,,,
FKBP5,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-6829-3p,,,,,,
ATXN3,0.017857142857142905,0.727,0.747,1.26,1,hsa-miR-371b-5p,,,,,,
GPR75,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-7703,,,,,,
MAVS,0.017857142857142905,0.621,0.673,0.948,1,hsa-miR-6802-3p,,,,,,
ZNF609,0.017857142857142905,0.629,0.678,0.97,1,hsa-miR-7854-3p,,,,,,
ERGIC1,0.017857142857142905,0.633,0.681,0.98,1,hsa-miR-1253,,,,,,
IL6ST,0.017857142857142905,0.653,0.694,1.03,1,hsa-miR-548h-5p,,,,,,
ZNF354B,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-4722-3p,,,,,,
CBS,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-7854-3p,,,,,,
DYNC1LI2,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-7703,,,,,,
FPR1,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-4722-3p,,,,,,
GATAD1,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-7151-5p,,,,,,
LUZP1,0.017857142857142905,0.717,0.74,1.23,1,hsa-miR-1253,,,,,,
GPR155,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-6829-3p,,,,,,
IL6R,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-4722-3p,,,,,,
PLEKHG2,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-7703,,,,,,
AAK1,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-371b-5p,,,,,,
RDH11,0.017857142857142905,0.717,0.74,1.23,1,hsa-miR-548h-5p,,,,,,
ETV3,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-4722-3p,,,,,,
QRFPR,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-1253,,,,,,
RPS6KA5,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-4282,,,,,,
RRP7A,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-4722-3p,,,,,,
TIMM10,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-5587-5p,,,,,,
TOR2A,0.017857142857142905,0.649,0.691,1.02,1,hsa-miR-6722-3p,,,,,,
ACTR2,0.017857142857142905,0.653,0.694,1.03,1,hsa-miR-4524b-5p,,,,,,
C15orf40,0.017857142857142905,0.653,0.694,1.03,1,hsa-miR-4722-3p,,,,,,
ATG9A,0.017857142857142905,0.645,0.689,1.01,1,hsa-miR-6847-3p,,,,,,
SPIB,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-4722-3p,,,,,,
ZNF878,0.017857142857142905,0.72,0.742,1.24,1,hsa-miR-371b-5p,,,,,,
RHOB,0.017857142857142905,0.637,0.684,0.991,1,hsa-miR-4282,,,,,,
FBXW8,0.017857142857142905,0.633,0.681,0.98,1,hsa-miR-4741,,,,,,
HNRNPF,0.017857142857142905,0.633,0.681,0.98,1,hsa-miR-371b-5p,,,,,,
TRIM65,0.017857142857142905,0.72,0.742,1.24,1,hsa-miR-7854-3p,,,,,,
LGSN,0.017857142857142905,0.633,0.681,0.98,1,hsa-miR-4722-3p,,,,,,
RBM12B,0.017857142857142905,0.72,0.742,1.24,1,hsa-miR-7703,,,,,,
SLC35C2,0.017857142857142905,0.633,0.681,0.98,1,hsa-miR-4741,,,,,,
ADGRL1,0.017857142857142905,0.637,0.684,0.991,1,hsa-miR-4741,,,,,,
MLF2,0.017857142857142905,0.637,0.684,0.991,1,hsa-miR-4282,,,,,,
FZD6,0.017857142857142905,0.72,0.742,1.24,1,hsa-miR-5585-3p,,,,,,
SIK1,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-548h-5p,,,,,,
USP6NL,0.017857142857142905,0.637,0.684,0.991,1,hsa-miR-218-2-3p,,,,,,
ZFAND4,0.017857142857142905,0.637,0.684,0.991,1,hsa-miR-5591-5p,,,,,,
BCAS4,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-6722-3p,,,,,,
ZNF101,0.017857142857142905,0.717,0.74,1.23,1,hsa-miR-7703,,,,,,
IGF2BP1,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-1229-3p,,,,,,
L2HGDH,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-4524b-5p,,,,,,
RAB15,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-6722-3p,,,,,,
REEP3,0.017857142857142905,0.641,0.687,1.0,1,hsa-miR-7703,,,,,,
IRGQ,0.017857142857142905,0.75,0.766,1.35,1,hsa-miR-7703,,,,,,
ESYT1,0.017857142857142905,0.557,0.642,0.797,1,hsa-miR-548h-5p,,,,,,
POU2F1,0.017857142857142905,0.812,0.819,1.62,1,hsa-miR-6829-3p,,,,,,
NOL10,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-4722-3p,,,,,,
IGFBP5,0.017857142857142905,0.799,0.807,1.55,1,hsa-miR-1229-3p,,,,,,
ZNF70,0.017857142857142905,0.797,0.806,1.54,1,hsa-miR-4722-3p,,,,,,
CD3D,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-371b-5p,,,,,,
COL9A2,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-7703,,,,,,
CPEB4,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-412-3p,,,,,,
CREBL2,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4524b-5p,,,,,,
CUL3,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4524b-5p,,,,,,
CXorf38,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-3130-3p,,,,,,
DCBLD2,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-660-5p,,,,,,
DSN1,0.017857142857142905,0.797,0.806,1.54,1,hsa-miR-4722-3p,,,,,,
BACH1,0.017857142857142905,0.794,0.804,1.53,1,hsa-miR-548h-5p,,,,,,
DNAJC8,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6722-3p,,,,,,
EEF2K,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-7703,,,,,,
ARHGDIA,0.017857142857142905,0.794,0.804,1.53,1,hsa-miR-6847-3p,,,,,,
ENTPD1,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-7703,,,,,,
FOXO3,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4722-3p,,,,,,
GALNT10,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6829-3p,,,,,,
GNS,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4282,,,,,,
INMT,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-6769b-5p,,,,,,
CCL16,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-7703,,,,,,
CCBE1,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4722-3p,,,,,,
CBX4,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4524b-5p,,,,,,
TFAP2A,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-4524b-5p,,,,,,
FNBP1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-371b-5p,,,,,,
FOXP1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-1229-3p,,,,,,
KPNA1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-548h-5p,,,,,,
NAGK,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-4722-3p,,,,,,
NIPA1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-6847-3p,,,,,,
PTCHD1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-548h-5p,,,,,,
SALL1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-4524b-5p,,,,,,
SLC6A8,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-6829-3p,,,,,,
YRDC,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-4524b-5p,,,,,,
CAD,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-7703,,,,,,
ZNF24,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-371b-5p,,,,,,
AJAP1,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6829-3p,,,,,,
ANKRD50,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-7151-5p,,,,,,
ARF6,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-7854-3p,,,,,,
BBS5,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-7703,,,,,,
BICDL1,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-1227-5p,,,,,,
BROX,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-371b-5p,,,,,,
C16orf52,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-7854-3p,,,,,,
KREMEN1,0.017857142857142905,0.79,0.8,1.51,1,hsa-miR-4722-3p,,,,,,
INO80D,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-1229-3p,,,,,,
LEFTY1,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-1253,,,,,,
CEP120,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-548h-5p,,,,,,
TMEM30A,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4282,,,,,,
TMEM30B,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-548h-5p,,,,,,
TROVE2,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4282,,,,,,
UTP4,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-7703,,,,,,
ZNF689,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4722-3p,,,,,,
ZXDA,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4282,,,,,,
ZBTB8B,0.017857142857142905,0.777,0.789,1.45,1,hsa-miR-7703,,,,,,
ADCY9,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6722-3p,,,,,,
RCC2,0.017857142857142905,0.777,0.789,1.45,1,hsa-miR-548h-5p,,,,,,
TMEM246,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-412-3p,,,,,,
CYP51A1,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6847-3p,,,,,,
GNAS,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6847-3p,,,,,,
HIST1H2AG,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-7703,,,,,,
HIVEP3,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-5591-5p,,,,,,
KRT80,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-7854-3p,,,,,,
LIMS1,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6829-3p,,,,,,
LIX1L,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-7703,,,,,,
N4BP1,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-4524b-5p,,,,,,
TVP23C,0.017857142857142905,0.782,0.794,1.48,1,hsa-miR-7703,,,,,,
TM4SF5,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4722-3p,,,,,,
PGPEP1,0.017857142857142905,0.787,0.798,1.5,1,hsa-miR-7703,,,,,,
PTDSS2,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6847-3p,,,,,,
MED18,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-1229-3p,,,,,,
NUDT7,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6847-3p,,,,,,
PCDHA6,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6829-3p,,,,,,
PLEC,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-6722-3p,,,,,,
PNISR,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4282,,,,,,
DSTYK,0.017857142857142905,0.787,0.798,1.5,1,hsa-miR-4722-3p,,,,,,
PRICKLE4,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-5587-5p,,,,,,
PSMD11,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-1253,,,,,,
RABGEF1,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-4282,,,,,,
SPC25,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-548h-5p,,,,,,
RHOBTB3,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-6847-3p,,,,,,
RNF20,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-371b-5p,,,,,,
PEG10,0.017857142857142905,0.785,0.796,1.49,1,hsa-miR-548h-5p,,,,,,
GGCX,0.017857142857142905,0.785,0.796,1.49,1,hsa-miR-7703,,,,,,
SEC63,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-7703,,,,,,
SFMBT2,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4282,,,,,,
SGO1,0.017857142857142905,0.499,0.625,0.679,1,hsa-miR-4722-3p,,,,,,
SOWAHC,0.017857142857142905,0.504,0.625,0.689,1,hsa-miR-1253,,,,,,
EIF4G2,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-1229-3p,,,,,,
EHD2,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-6847-3p,,,,,,
EFNA1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-6769b-5p,,,,,,
CRAMP1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-371b-5p,,,,,,
ZBTB38,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-548h-5p,,,,,,
ADD1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-4722-3p,,,,,,
AGBL5,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7703,,,,,,
BPTF,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7703,,,,,,
CD164,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-3130-3p,,,,,,
CDKL2,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-548h-5p,,,,,,
CHRDL1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-1253,,,,,,
CMBL,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-371b-5p,,,,,,
DUSP28,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7703,,,,,,
USP1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-7703,,,,,,
FANCA,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-1227-5p,,,,,,
FGFR1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7854-3p,,,,,,
FZR1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-6769b-5p,,,,,,
HM13,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-4722-3p,,,,,,
MBD4,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-6722-3p,,,,,,
MTO1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-6829-3p,,,,,,
NCAPG2,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7703,,,,,,
PMAIP1,0.017857142857142905,0.806,0.814,1.58,1,hsa-miR-660-5p,,,,,,
VMA21,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-7854-3p,,,,,,
SHOX2,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-5585-3p,,,,,,
POLR2F,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-6722-3p,,,,,,
FUS,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-7703,,,,,,
ZNF620,0.017857142857142905,0.47,0.619,0.625,1,hsa-miR-4524b-5p,,,,,,
AASDHPPT,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-412-3p,,,,,,
C1orf210,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-371b-5p,,,,,,
CREBRF,0.017857142857142905,0.812,0.819,1.62,1,hsa-miR-4524b-5p,,,,,,
CLCN3,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-4282,,,,,,
CRNKL1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-548h-5p,,,,,,
DBN1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-4282,,,,,,
FAM104A,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-4282,,,,,,
GDI1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-6769b-5p,,,,,,
RNF152,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-134-3p,,,,,,
KIF23,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-4524b-5p,,,,,,
MOGAT1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-371b-5p,,,,,,
MYBL1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-1229-3p,,,,,,
NKRF,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-7854-3p,,,,,,
NPY4R,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-7703,,,,,,
PMEPA1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-1229-3p,,,,,,
PTAR1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-7703,,,,,,
PYGO1,0.017857142857142905,0.476,0.62,0.636,1,hsa-miR-134-3p,,,,,,
ZNF652,0.017857142857142905,0.804,0.812,1.57,1,hsa-miR-7703,,,,,,
POM121C,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-4741,,,,,,
DDX39B,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-4741,,,,,,
SLC4A1,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-371b-5p,,,,,,
MXRA7,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-371b-5p,,,,,,
NRXN3,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-7703,,,,,,
PANK1,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-3130-3p,,,,,,
PARVB,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-371b-5p,,,,,,
POLA2,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-7703,,,,,,
RAB8B,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-548h-5p,,,,,,
MRPS10,0.017857142857142905,0.799,0.807,1.55,1,hsa-miR-7703,,,,,,
SLC16A4,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-7703,,,,,,
SPOP,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4282,,,,,,
MSI2,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4282,,,,,,
UGDH,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-7703,,,,,,
ULK1,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-6769b-5p,,,,,,
ZFYVE26,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-660-5p,,,,,,
ZNFX1,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-6722-3p,,,,,,
AK2,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-3130-3p,,,,,,
CEP135,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-4722-3p,,,,,,
COQ7,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-371b-5p,,,,,,
CTNND1,0.017857142857142905,0.493,0.623,0.668,1,hsa-miR-1229-3p,,,,,,
MTMR3,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4524b-5p,,,,,,
MFSD9,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-548h-5p,,,,,,
SERTAD2,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7151-5p,,,,,,
CHCHD5,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-371b-5p,,,,,,
SLC43A3,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-548h-5p,,,,,,
SRD5A1,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-412-3p,,,,,,
TIMELESS,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7703,,,,,,
TMPRSS12,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-4282,,,,,,
ZNF277,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7703,,,,,,
HIC2,0.017857142857142905,0.804,0.812,1.57,1,hsa-miR-7854-3p,,,,,,
ZNF446,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-371b-5p,,,,,,
ZNF644,0.017857142857142905,0.482,0.621,0.646,1,hsa-miR-7151-5p,,,,,,
CNNM2,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4524b-5p,,,,,,
KIAA1958,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-7703,,,,,,
ZNF451,0.017857142857142905,0.799,0.807,1.55,1,hsa-miR-371b-5p,,,,,,
DCP2,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4282,,,,,,
EIF4E,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-371b-5p,,,,,,
ERVMER34-1,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-5587-5p,,,,,,
FAM213A,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-3130-3p,,,,,,
FAM83G,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-7854-3p,,,,,,
GTF3C4,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4282,,,,,,
HINT1,0.017857142857142905,0.488,0.622,0.657,1,hsa-miR-4282,,,,,,
NKD1,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6829-3p,,,,,,
PLD3,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6722-3p,,,,,,
CFL2,0.017857142857142905,0.557,0.642,0.797,1,hsa-miR-7854-3p,,,,,,
QSOX2,0.017857142857142905,0.51,0.625,0.7,1,hsa-miR-6722-3p,,,,,,
ATP1B4,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-134-3p,,,,,,
BMI1,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-548h-5p,,,,,,
BTLA,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
CAMLG,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-371b-5p,,,,,,
DUSP2,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-6802-3p,,,,,,
EMC1,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-7703,,,,,,
EMC3,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-6847-3p,,,,,,
FBXL20,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
HIST1H2AH,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
HSBP1,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
MYO5A,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-4524b-5p,,,,,,
NLRP9,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
OR7D2,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
PAGR1,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-5585-3p,,,,,,
PDF,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-371b-5p,,,,,,
PELP1,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-4282,,,,,,
PLEKHA2,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-6829-3p,,,,,,
PPM1K,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-7703,,,,,,
DR1,0.017857142857142905,0.756,0.771,1.37,1,hsa-miR-548h-5p,,,,,,
ARL4C,0.017857142857142905,0.541,0.639,0.765,1,hsa-miR-660-5p,,,,,,
ARHGAP12,0.017857142857142905,0.547,0.639,0.776,1,hsa-miR-371b-5p,,,,,,
TOR1AIP2,0.017857142857142905,0.759,0.773,1.38,1,hsa-miR-3130-3p,,,,,,
LONRF2,0.017857142857142905,0.536,0.636,0.754,1,hsa-miR-134-3p,,,,,,
B4GALT1,0.017857142857142905,0.536,0.636,0.754,1,hsa-miR-6722-3p,,,,,,
BMP3,0.017857142857142905,0.536,0.636,0.754,1,hsa-miR-7703,,,,,,
CREB3L2,0.017857142857142905,0.536,0.636,0.754,1,hsa-miR-6769b-5p,,,,,,
F2RL3,0.017857142857142905,0.536,0.636,0.754,1,hsa-miR-3130-3p,,,,,,
