"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9"
"PROSER3","0.0200","0.383","0.196","3","hsa-miR-1202","hsa-miR-185-3p","hsa-miR-4489","","","","","",""
"TRIM39","0.0203","0.383","0.113","2","hsa-miR-940","hsa-miR-1470","","","","","","",""
"TSHZ2","0.0200","0.383","0.196","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TXLNA","0.0199","0.383","0.319","5","hsa-miR-320b","hsa-miR-1227-3p","hsa-miR-1224-5p","hsa-miR-4472","hsa-miR-7110-5p","","","",""
"TXNRD3NB","0.0200","0.383","0.196","3","hsa-miR-4472","hsa-miR-185-3p","hsa-miR-4489","","","","","",""
"UBXN11","0.0203","0.383","0.113","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"APOL6","0.0205","0.386","0.366","6","hsa-miR-4313","hsa-miR-940","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-1202","","",""
"AKAP2","0.0211","0.390","0.268","4","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-4685-3p","hsa-miR-1470","","","","",""
"CLDN1","0.0216","0.390","0.202","3","hsa-miR-5100","hsa-miR-1224-5p","hsa-miR-1470","","","","","",""
"F2","0.0211","0.390","0.268","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","","","","",""
"GLI2","0.0216","0.390","0.202","3","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","",""
"GTF2F1","0.0211","0.390","0.268","4","hsa-miR-6076","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"HIST3H2BB","0.0216","0.390","0.202","3","hsa-miR-6793-5p","hsa-miR-4483","hsa-miR-4769-5p","","","","","",""
"INO80","0.0216","0.390","0.202","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PKNOX2","0.0216","0.390","0.202","3","hsa-miR-1185-2-3p","hsa-miR-4472","hsa-miR-5698","","","","","",""
"ACVRL1","0.0233","0.393","0.208","3","hsa-miR-6877-5p","hsa-miR-940","hsa-miR-1224-5p","","","","","",""
"BLOC1S4","0.0233","0.393","0.208","3","hsa-miR-6877-5p","hsa-miR-31-3p","hsa-miR-940","","","","","",""
"CENPM","0.0222","0.393","0.273","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","","","","",""
"CKS1B","0.0233","0.393","0.208","3","hsa-miR-941","hsa-miR-320d","hsa-miR-320b","","","","","",""
"EEF2K","0.0234","0.393","0.277","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6780a-5p","","","","",""
"KMT2D","0.0234","0.393","0.416","7","hsa-miR-4472","hsa-miR-6741-5p","hsa-miR-6793-5p","hsa-miR-4685-3p","hsa-miR-646","hsa-miR-1224-5p","hsa-miR-5698","",""
"MPLKIP","0.0220","0.393","0.372","6","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-1227-3p","","",""
"NQO2","0.0222","0.393","0.273","4","hsa-miR-941","hsa-miR-1227-3p","hsa-miR-320d","hsa-miR-320b","","","","",""
"PDCD11","0.0234","0.393","0.121","2","hsa-miR-320b","hsa-miR-17-3p","","","","","","",""
"PLD6","0.0233","0.393","0.208","3","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-6780a-5p","","","","","",""
"SETD5","0.0228","0.393","0.375","6","hsa-miR-646","hsa-miR-944","hsa-miR-6793-5p","hsa-miR-4483","hsa-miR-4443","hsa-miR-5698","","",""
"SWAP70","0.0234","0.393","0.121","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"TAS2R5","0.0233","0.393","0.208","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TIMM29","0.0235","0.393","0.332","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-1227-3p","hsa-miR-6776-5p","","","",""
"TLN1","0.0226","0.393","0.329","5","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-4472","hsa-miR-5698","hsa-miR-7110-5p","","","",""
"TP73","0.0234","0.393","0.121","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"WHAMM","0.0234","0.393","0.277","4","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-1227-3p","hsa-miR-6776-5p","","","","",""
"MKLN1","0.0245","0.402","0.336","5","hsa-miR-320b","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","",""
"N4BP1","0.0246","0.402","0.281","4","hsa-miR-320b","hsa-miR-646","hsa-miR-1224-5p","hsa-miR-6776-5p","","","","",""
"NAA50","0.0244","0.402","0.381","6","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","hsa-miR-3652","hsa-miR-504-3p","","",""
"RGS9BP","0.0246","0.402","0.281","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","","","","",""
"SCAMP4","0.0244","0.402","0.381","6","hsa-miR-6780a-5p","hsa-miR-646","hsa-miR-342-5p","hsa-miR-3652","hsa-miR-6819-5p","hsa-miR-7110-5p","","",""
"THAP6","0.0246","0.402","0.281","4","hsa-miR-1290","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"TESPA1","0.0250","0.406","0.214","3","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-940","","","","","",""
"ABCA2","0.0267","0.411","0.130","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"CINP","0.0267","0.411","0.130","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"COX10","0.0259","0.411","0.286","4","hsa-miR-5100","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","","","","",""
"FBRS","0.0265","0.411","0.343","5","hsa-miR-1470","hsa-miR-185-3p","hsa-miR-342-5p","hsa-miR-5698","hsa-miR-6819-5p","","","",""
"GTF3C1","0.0259","0.411","0.286","4","hsa-miR-941","hsa-miR-3652","hsa-miR-6780a-5p","hsa-miR-940","","","","",""
"ITPA","0.0268","0.411","0.219","3","hsa-miR-342-5p","hsa-miR-6741-5p","hsa-miR-7110-5p","","","","","",""
"MCTP1","0.0267","0.411","0.130","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"MFSD4B","0.0268","0.411","0.219","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"MPP2","0.0259","0.411","0.286","4","hsa-miR-342-5p","hsa-miR-6776-5p","hsa-miR-6793-5p","hsa-miR-6819-5p","","","","",""
"PTGR2","0.0259","0.411","0.286","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6743-3p","hsa-miR-940","","","","",""
"SH3GL1","0.0268","0.411","0.219","3","hsa-miR-320b","hsa-miR-1227-3p","hsa-miR-504-3p","","","","","",""
"SLC16A5","0.0268","0.411","0.219","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ZNF317","0.0265","0.411","0.343","5","hsa-miR-6076","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-1224-5p","hsa-miR-6776-5p","","","",""
"ZNF321P","0.0268","0.411","0.219","3","hsa-miR-6776-5p","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","",""
"LRRC3C","0.0275","0.417","0.346","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-4685-3p","hsa-miR-6780a-5p","","","",""
"RNF157","0.0275","0.417","0.346","5","hsa-miR-5698","hsa-miR-940","hsa-miR-6730-5p","hsa-miR-3652","hsa-miR-504-3p","","","",""
"TMEM184B","0.0275","0.417","0.346","5","hsa-miR-1202","hsa-miR-646","hsa-miR-4472","hsa-miR-4489","hsa-miR-5698","","","",""
"ARL2","0.0287","0.425","0.225","3","hsa-miR-342-5p","hsa-miR-5698","hsa-miR-6819-5p","","","","","",""
"CALCOCO2","0.0285","0.425","0.294","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","","",""
"HIST2H3A","0.0287","0.425","0.225","3","hsa-miR-320b","hsa-miR-6793-5p","hsa-miR-4483","","","","","",""
"PPP1R3G","0.0287","0.425","0.225","3","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-6780a-5p","","","","","",""
"SZRD1","0.0286","0.425","0.350","5","hsa-miR-646","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-4313","hsa-miR-5698","","","",""
"ZNF226","0.0287","0.425","0.225","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"AIMP1","0.0302","0.433","0.139","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"ERC1","0.0299","0.433","0.299","4","hsa-miR-320b","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"FOLR1","0.0299","0.433","0.299","4","hsa-miR-6780a-5p","hsa-miR-4472","hsa-miR-185-3p","hsa-miR-4489","","","","",""
"HEMK1","0.0302","0.433","0.139","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"KAT7","0.0299","0.433","0.299","4","hsa-miR-6780a-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"PNPLA6","0.0299","0.433","0.299","4","hsa-miR-5698","hsa-miR-646","hsa-miR-6780a-5p","hsa-miR-7110-5p","","","","",""
"TMA16","0.0302","0.433","0.139","2","hsa-miR-5100","hsa-miR-1470","","","","","","",""
"UQCRH","0.0302","0.433","0.139","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","","",""
"XKR4","0.0305","0.437","0.401","6","hsa-miR-1227-3p","hsa-miR-6780a-5p","hsa-miR-4685-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","",""
"ARSA","0.0307","0.437","0.231","3","hsa-miR-940","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ANKRD13B","0.0348","0.443","0.242","3","hsa-miR-4472","hsa-miR-5698","hsa-miR-185-3p","","","","","",""
"ATP1B4","0.0343","0.443","0.312","4","hsa-miR-940","hsa-miR-941","hsa-miR-6780a-5p","hsa-miR-4769-5p","","","","",""
"CRLF1","0.0338","0.443","0.147","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","","",""
"DAB2IP","0.0348","0.443","0.242","3","hsa-miR-4483","hsa-miR-6805-3p","hsa-miR-7110-5p","","","","","",""
"DDX1","0.0343","0.443","0.0346","1","hsa-miR-342-5p","","","","","","","",""
"DSN1","0.0345","0.443","0.413","6","hsa-miR-944","hsa-miR-6741-5p","hsa-miR-4483","hsa-miR-495-5p","hsa-miR-6780a-5p","hsa-miR-940","","",""
"EMC3","0.0328","0.443","0.307","4","hsa-miR-5100","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"FANCC","0.0327","0.443","0.237","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"GPX2","0.0343","0.443","0.0346","1","hsa-miR-17-3p","","","","","","","",""
"GRM4","0.0343","0.443","0.0346","1","hsa-miR-1202","","","","","","","",""
"HIRA","0.0343","0.443","0.0346","1","hsa-miR-17-3p","","","","","","","",""
"HSPA4L","0.0325","0.443","0.407","6","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-320d","hsa-miR-320b","hsa-miR-6805-3p","","",""
"IRF8","0.0343","0.443","0.0346","1","hsa-miR-646","","","","","","","",""
"KIF7","0.0343","0.443","0.0346","1","hsa-miR-342-5p","","","","","","","",""
"MRPL53","0.0343","0.443","0.0346","1","hsa-miR-17-3p","","","","","","","",""
"MSH5","0.0338","0.443","0.147","2","hsa-miR-3652","hsa-miR-6776-5p","","","","","","",""
"MYCBP","0.0348","0.443","0.242","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"MYO5A","0.0328","0.443","0.307","4","hsa-miR-646","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-7110-5p","","","","",""
"PLEKHM3","0.0313","0.443","0.303","4","hsa-miR-6805-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"PRRC2B","0.0335","0.443","0.410","6","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","hsa-miR-5698","hsa-miR-185-3p","","",""
"PRRT2","0.0328","0.443","0.307","4","hsa-miR-6741-5p","hsa-miR-4483","hsa-miR-6776-5p","hsa-miR-5698","","","","",""
"RAB10","0.0343","0.443","0.367","5","hsa-miR-4769-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","",""
"RITA1","0.0343","0.443","0.0346","1","hsa-miR-320b","","","","","","","",""
"SCAF4","0.0338","0.443","0.147","2","hsa-miR-185-3p","hsa-miR-17-3p","","","","","","",""
"SF3A3","0.0338","0.443","0.147","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"SLC23A2","0.0343","0.443","0.0346","1","hsa-miR-320b","","","","","","","",""
"STMN3","0.0348","0.443","0.242","3","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-5698","","","","","",""
"TMEM63C","0.0327","0.443","0.237","3","hsa-miR-6780a-5p","hsa-miR-185-3p","hsa-miR-6877-5p","","","","","",""
"TRABD","0.0343","0.443","0.0346","1","hsa-miR-17-3p","","","","","","","",""
"VPS45","0.0338","0.443","0.147","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"YKT6","0.0327","0.443","0.237","3","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-5100","","","","","",""
"ZNF600","0.0343","0.443","0.0346","1","hsa-miR-320b","","","","","","","",""
"NFIC","0.0351","0.445","0.512","9","hsa-miR-4483","hsa-miR-6877-5p","hsa-miR-185-3p","hsa-miR-3181","hsa-miR-3652","hsa-miR-4313","hsa-miR-4443","hsa-miR-7110-5p","hsa-miR-940"
"CAPN15","0.0355","0.449","0.371","5","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-4685-3p","hsa-miR-185-3p","hsa-miR-6877-5p","","","",""
"C3orf62","0.0370","0.456","0.248","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"CD68","0.0376","0.456","0.156","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"CISD2","0.0370","0.456","0.248","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"CYP2B6","0.0370","0.456","0.248","3","hsa-miR-7110-5p","hsa-miR-4685-3p","hsa-miR-1470","","","","","",""
"HSP90AB1","0.0374","0.456","0.320","4","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-17-3p","hsa-miR-5698","","","","",""
"MARCH9","0.0370","0.456","0.248","3","hsa-miR-6819-5p","hsa-miR-1202","hsa-miR-342-5p","","","","","",""
"MOGAT3","0.0376","0.456","0.156","2","hsa-miR-504-3p","hsa-miR-5698","","","","","","",""
"OSBPL10","0.0374","0.456","0.320","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6780a-5p","","","","",""
"PHF1","0.0376","0.456","0.156","2","hsa-miR-1470","hsa-miR-4313","","","","","","",""
"RPS6KA4","0.0374","0.456","0.320","4","hsa-miR-4472","hsa-miR-5698","hsa-miR-342-5p","hsa-miR-6819-5p","","","","",""
"SRARP","0.0370","0.456","0.248","3","hsa-miR-6730-5p","hsa-miR-4685-3p","hsa-miR-1470","","","","","",""
"STEAP2","0.0370","0.456","0.248","3","hsa-miR-940","hsa-miR-1227-3p","hsa-miR-6776-5p","","","","","",""
"UBE2G2","0.0370","0.456","0.248","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"QSOX1","0.0380","0.458","0.377","5","hsa-miR-7110-5p","hsa-miR-646","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","","","",""
"RRP36","0.0380","0.458","0.377","5","hsa-miR-1227-3p","hsa-miR-4769-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","",""
"MINOS1","0.0390","0.465","0.325","4","hsa-miR-6741-5p","hsa-miR-6776-5p","hsa-miR-6780a-5p","hsa-miR-940","","","","",""
"NRGN","0.0392","0.465","0.254","3","hsa-miR-5698","hsa-miR-4769-5p","hsa-miR-940","","","","","",""
"NUDT16","0.0392","0.465","0.254","3","hsa-miR-4456","hsa-miR-5100","hsa-miR-4685-3p","","","","","",""
"PTPN9","0.0392","0.465","0.254","3","hsa-miR-4483","hsa-miR-6741-5p","hsa-miR-940","","","","","",""
"YME1L1","0.0390","0.465","0.325","4","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-3652","hsa-miR-6780a-5p","","","","",""
"NACC1","0.0398","0.470","0.523","9","hsa-miR-4472","hsa-miR-6743-3p","hsa-miR-5698","hsa-miR-17-3p","hsa-miR-185-3p","hsa-miR-6780a-5p","hsa-miR-6877-5p","hsa-miR-7110-5p","hsa-miR-940"
"ANG","0.0415","0.471","0.260","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"C2CD2","0.0416","0.471","0.164","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"GDE1","0.0415","0.471","0.500","8","hsa-miR-940","hsa-miR-4685-3p","hsa-miR-3652","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-504-3p","hsa-miR-5572","hsa-miR-6819-5p",""
"IBA57","0.0407","0.471","0.384","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6780a-5p","hsa-miR-1227-3p","","","",""
"KCMF1","0.0416","0.471","0.164","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"KCNE3","0.0416","0.471","0.164","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"KMT2A","0.0407","0.471","0.384","5","hsa-miR-320b","hsa-miR-1227-3p","hsa-miR-185-3p","hsa-miR-4483","hsa-miR-6743-3p","","","",""
"MRPS18B","0.0416","0.471","0.164","2","hsa-miR-320b","hsa-miR-320d","","","","","","",""
"MTAP","0.0415","0.471","0.260","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PSMB5","0.0407","0.471","0.329","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-4685-3p","hsa-miR-1470","","","","",""
"ROMO1","0.0416","0.471","0.164","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"SIK2","0.0415","0.471","0.260","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TFAP4","0.0407","0.471","0.329","4","hsa-miR-185-3p","hsa-miR-4443","hsa-miR-4472","hsa-miR-7110-5p","","","","",""
"ZNF106","0.0407","0.471","0.329","4","hsa-miR-5698","hsa-miR-646","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"MRI1","0.0424","0.477","0.333","4","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"ZNF747","0.0424","0.477","0.333","4","hsa-miR-495-5p","hsa-miR-4483","hsa-miR-6741-5p","hsa-miR-940","","","","",""
"C10orf76","0.0441","0.484","0.338","4","hsa-miR-7110-5p","hsa-miR-6780a-5p","hsa-miR-4483","hsa-miR-940","","","","",""
"C11orf58","0.0439","0.484","0.265","3","hsa-miR-6730-5p","hsa-miR-6780a-5p","hsa-miR-4483","","","","","",""
"C9orf64","0.0439","0.484","0.265","3","hsa-miR-31-3p","hsa-miR-516a-5p","hsa-miR-1227-3p","","","","","",""
"DOT1L","0.0439","0.484","0.265","3","hsa-miR-4443","hsa-miR-4472","hsa-miR-7110-5p","","","","","",""
"LEAP2","0.0439","0.484","0.265","3","hsa-miR-6776-5p","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","",""
"NRF1","0.0441","0.484","0.338","4","hsa-miR-6780a-5p","hsa-miR-6776-5p","hsa-miR-944","hsa-miR-504-3p","","","","",""
"RAB2B","0.0439","0.484","0.265","3","hsa-miR-6780a-5p","hsa-miR-6730-5p","hsa-miR-6805-3p","","","","","",""
"SGSM2","0.0439","0.484","0.265","3","hsa-miR-4443","hsa-miR-7110-5p","hsa-miR-940","","","","","",""
"ZMIZ1","0.0439","0.484","0.265","3","hsa-miR-1185-2-3p","hsa-miR-4769-5p","hsa-miR-4313","","","","","",""
"ABHD12","0.0463","0.493","0.271","3","hsa-miR-320b","hsa-miR-320d","hsa-miR-6730-5p","","","","","",""
"ARL3","0.0457","0.493","0.173","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"DCXR","0.0457","0.493","0.173","2","hsa-miR-4443","hsa-miR-7110-5p","","","","","","",""
"FKRP","0.0457","0.493","0.173","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"LRAT","0.0463","0.493","0.271","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"SLC2A3","0.0463","0.493","0.271","3","hsa-miR-4769-5p","hsa-miR-504-3p","hsa-miR-646","","","","","",""
"SNW1","0.0457","0.493","0.173","2","hsa-miR-5572","hsa-miR-6819-5p","","","","","","",""
"STXBP2","0.0463","0.493","0.271","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"THAP2","0.0457","0.493","0.173","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"ZNF638","0.0463","0.493","0.271","3","hsa-miR-6743-3p","hsa-miR-4685-3p","hsa-miR-940","","","","","",""
"ZNF703","0.0463","0.493","0.398","5","hsa-miR-6877-5p","hsa-miR-6780a-5p","hsa-miR-4769-5p","hsa-miR-4483","hsa-miR-6776-5p","","","",""
"GRSF1","0.0477","0.503","0.346","4","hsa-miR-4685-3p","hsa-miR-940","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"RDH10","0.0477","0.503","0.346","4","hsa-miR-6793-5p","hsa-miR-6741-5p","hsa-miR-6776-5p","hsa-miR-6780a-5p","","","","",""
"SF3A1","0.0477","0.503","0.346","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","","",""
"AFAP1","0.0544","0.513","0.190","2","hsa-miR-646","hsa-miR-1185-2-3p","","","","","","",""
"AKR1B1","0.0511","0.513","0.0519","1","hsa-miR-342-5p","","","","","","","",""
"APOBEC3A","0.0544","0.513","0.190","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"ARL6IP5","0.0511","0.513","0.0519","1","hsa-miR-31-3p","","","","","","","",""
"ARMC7","0.0511","0.513","0.0519","1","hsa-miR-941","","","","","","","",""
"BTN3A2","0.0540","0.513","0.289","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"C1orf220","0.0544","0.513","0.190","2","hsa-miR-4313","hsa-miR-646","","","","","","",""
"C3","0.0508","0.513","0.409","5","hsa-miR-1227-3p","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-6780a-5p","hsa-miR-940","","","",""
"CNDP1","0.0514","0.513","0.283","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"CNOT3","0.0511","0.513","0.0519","1","hsa-miR-185-3p","","","","","","","",""
"CYP11A1","0.0500","0.513","0.182","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","","",""
"DTX2","0.0544","0.513","0.190","2","hsa-miR-5698","hsa-miR-940","","","","","","",""
"EIF2B5","0.0544","0.513","0.190","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"ELOVL2","0.0511","0.513","0.0519","1","hsa-miR-17-3p","","","","","","","",""
"FBXL13","0.0514","0.513","0.283","3","hsa-miR-320d","hsa-miR-320b","hsa-miR-941","","","","","",""
"FBXO40","0.0544","0.513","0.190","2","hsa-miR-5698","hsa-miR-3652","","","","","","",""
"FIBCD1","0.0514","0.513","0.283","3","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-940","","","","","",""
"GPR161","0.0544","0.513","0.190","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"GSTO1","0.0544","0.513","0.190","2","hsa-miR-5572","hsa-miR-7110-5p","","","","","","",""
"HAND2","0.0544","0.513","0.190","2","hsa-miR-4443","hsa-miR-5698","","","","","","",""
"HEYL","0.0534","0.513","0.359","4","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"HIST2H3C","0.0544","0.513","0.190","2","hsa-miR-6793-5p","hsa-miR-4483","","","","","","",""
"KRBA2","0.0544","0.513","0.190","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"MAN2B2","0.0514","0.513","0.283","3","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-4489","","","","","",""
"MRPS25","0.0544","0.513","0.190","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"NAB2","0.0540","0.513","0.289","3","hsa-miR-4472","hsa-miR-4769-5p","hsa-miR-7110-5p","","","","","",""
"NDUFB11","0.0514","0.513","0.283","3","hsa-miR-6805-3p","hsa-miR-7110-5p","hsa-miR-940","","","","","",""
"NLRC5","0.0544","0.513","0.190","2","hsa-miR-17-3p","hsa-miR-940","","","","","","",""
"NPR1","0.0508","0.513","0.409","5","hsa-miR-944","hsa-miR-6780a-5p","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-940","","","",""
"PPIL4","0.0534","0.513","0.359","4","hsa-miR-17-3p","hsa-miR-1227-3p","hsa-miR-6776-5p","hsa-miR-940","","","","",""
"PSMB6","0.0511","0.513","0.0519","1","hsa-miR-185-3p","","","","","","","",""
"PTCD3","0.0540","0.513","0.289","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"RIF1","0.0534","0.513","0.359","4","hsa-miR-646","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-6780a-5p","","","","",""
"RIPOR1","0.0511","0.513","0.0519","1","hsa-miR-342-5p","","","","","","","",""
"SGSH","0.0511","0.513","0.0519","1","hsa-miR-941","","","","","","","",""
"SLC4A2","0.0540","0.513","0.289","3","hsa-miR-4472","hsa-miR-5698","hsa-miR-944","","","","","",""
"SNAPC4","0.0511","0.513","0.0519","1","hsa-miR-17-3p","","","","","","","",""
"ST3GAL2","0.0544","0.513","0.190","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"STIM2","0.0511","0.513","0.0519","1","hsa-miR-1185-2-3p","","","","","","","",""
"TANGO2","0.0515","0.513","0.355","4","hsa-miR-6780a-5p","hsa-miR-1227-3p","hsa-miR-6776-5p","hsa-miR-940","","","","",""
"TIMMDC1","0.0511","0.513","0.0519","1","hsa-miR-17-3p","","","","","","","",""
"TMEM74B","0.0544","0.513","0.190","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"ZNF786","0.0496","0.513","0.351","4","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-1202","","","","",""
