Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
HAND2,0.022222222222222254,0.0544,0.513,0.19,2,hsa-miR-4443,hsa-miR-5698,,,,,,,
GSTO1,0.022222222222222254,0.0544,0.513,0.19,2,hsa-miR-5572,hsa-miR-7110-5p,,,,,,,
BAHD1,0.022222222222222254,0.176,0.67,0.381,2,hsa-miR-6730-5p,hsa-miR-4685-3p,,,,,,,
BCL2L15,0.022222222222222254,0.17,0.67,0.372,2,hsa-miR-504-3p,hsa-miR-940,,,,,,,
GPR107,0.022222222222222254,0.443,0.707,0.745,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
FAM208A,0.022222222222222254,0.466,0.715,0.779,2,hsa-miR-940,hsa-miR-6780a-5p,,,,,,,
GOLIM4,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-940,hsa-miR-646,,,,,,,
AFAP1,0.022222222222222254,0.0544,0.513,0.19,2,hsa-miR-646,hsa-miR-1185-2-3p,,,,,,,
YAE1D1,0.022222222222222254,0.46,0.713,0.77,2,hsa-miR-6780a-5p,hsa-miR-6805-3p,,,,,,,
NEGR1,0.022222222222222254,0.534,0.735,0.883,2,hsa-miR-4769-5p,hsa-miR-4443,,,,,,,
IRAK3,0.022222222222222254,0.189,0.67,0.398,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
ITGB3,0.022222222222222254,0.17,0.67,0.372,2,hsa-miR-6780a-5p,hsa-miR-17-3p,,,,,,,
ZNF48,0.022222222222222254,0.201,0.68,0.416,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
DNAL1,0.022222222222222254,0.802,0.841,1.46,2,hsa-miR-1227-3p,hsa-miR-6780a-5p,,,,,,,
MYBL2,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-185-3p,hsa-miR-4456,,,,,,,
FKRP,0.022222222222222254,0.0457,0.493,0.173,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
ARL3,0.022222222222222254,0.0457,0.493,0.173,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
SNW1,0.022222222222222254,0.0457,0.493,0.173,2,hsa-miR-5572,hsa-miR-6819-5p,,,,,,,
ACTBL2,0.022222222222222254,0.0173,0.37,0.104,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
ZNF701,0.022222222222222254,0.46,0.713,0.77,2,hsa-miR-6780a-5p,hsa-miR-4472,,,,,,,
THAP2,0.022222222222222254,0.0457,0.493,0.173,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
MAGEB4,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-5100,hsa-miR-4685-3p,,,,,,,
ADM2,0.022222222222222254,0.208,0.687,0.424,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
MAP3K7,0.022222222222222254,0.176,0.67,0.381,2,hsa-miR-940,hsa-miR-646,,,,,,,
MAP7D1,0.022222222222222254,0.176,0.67,0.381,2,hsa-miR-320b,hsa-miR-5698,,,,,,,
DCXR,0.022222222222222254,0.0457,0.493,0.173,2,hsa-miR-4443,hsa-miR-7110-5p,,,,,,,
HRNR,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-940,hsa-miR-941,,,,,,,
ROMO1,0.022222222222222254,0.0416,0.471,0.164,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
GPKOW,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
PLIN3,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-6793-5p,hsa-miR-3652,,,,,,,
PLCXD3,0.022222222222222254,0.182,0.67,0.39,2,hsa-miR-4685-3p,hsa-miR-1470,,,,,,,
TOR1B,0.022222222222222254,0.331,0.7,0.589,2,hsa-miR-1224-5p,hsa-miR-5100,,,,,,,
GRINA,0.022222222222222254,0.189,0.67,0.398,2,hsa-miR-4472,hsa-miR-5698,,,,,,,
MRPS18B,0.022222222222222254,0.0416,0.471,0.164,2,hsa-miR-320b,hsa-miR-320d,,,,,,,
APOBEC3A,0.022222222222222254,0.0544,0.513,0.19,2,hsa-miR-3652,hsa-miR-504-3p,,,,,,,
HOMEZ,0.022222222222222254,0.189,0.67,0.398,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
ADRM1,0.022222222222222254,0.208,0.687,0.424,2,hsa-miR-4483,hsa-miR-6780a-5p,,,,,,,
PHKA1,0.022222222222222254,0.176,0.67,0.381,2,hsa-miR-646,hsa-miR-1185-2-3p,,,,,,,
CDH6,0.022222222222222254,0.214,0.687,0.433,2,hsa-miR-6819-5p,hsa-miR-342-5p,,,,,,,
IGF2,0.022222222222222254,0.189,0.67,0.398,2,hsa-miR-320d,hsa-miR-320b,,,,,,,
TSPYL1,0.022222222222222254,0.528,0.732,0.874,2,hsa-miR-940,hsa-miR-495-5p,,,,,,,
WNT10B,0.022222222222222254,0.0121,0.339,0.0866,2,hsa-miR-5572,hsa-miR-17-3p,,,,,,,
SLC11A2,0.022222222222222254,0.534,0.735,0.883,2,hsa-miR-6780a-5p,hsa-miR-940,,,,,,,
SLC5A5,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-6780a-5p,,,,,,,,
C16orf72,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-1224-5p,,,,,,,,
APAF1,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-940,,,,,,,,
SLC2A5,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-940,,,,,,,,
B4GALT5,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-4472,,,,,,,,
PLA2G4A,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-940,,,,,,,,
SMAD7,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-646,,,,,,,,
TMBIM4,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1470,,,,,,,,
RPL23A,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1224-5p,,,,,,,,
TNS1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-1224-5p,,,,,,,,
UFM1,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-5100,,,,,,,,
UBE2D4,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-6780a-5p,,,,,,,,
CA8,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-646,,,,,,,,
PXK,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6730-5p,,,,,,,,
MLH1,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-940,,,,,,,,
ZFX,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-1185-2-3p,,,,,,,,
ZCCHC14,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-1224-5p,,,,,,,,
MSI1,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-5572,,,,,,,,
C2orf48,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-940,,,,,,,,
RHOG,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-940,,,,,,,,
SERP1,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-504-3p,,,,,,,,
HIST2H2BE,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-4483,,,,,,,,
ABCC5,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-185-3p,,,,,,,,
ZNF28,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-1202,,,,,,,,
TBC1D25,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-940,,,,,,,,
TSPAN1,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-4313,,,,,,,,
TM9SF4,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-4456,,,,,,,,
IQSEC2,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-940,,,,,,,,
PRELID1,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-3652,,,,,,,,
FAM83D,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-6805-3p,,,,,,,,
UPK3BL1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
NCEH1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-6780a-5p,,,,,,,,
PHYHIP,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-940,,,,,,,,
DHX40,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6780a-5p,,,,,,,,
SART3,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-6780a-5p,,,,,,,,
CEP72,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1470,,,,,,,,
CLNK,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-4685-3p,,,,,,,,
FBLIM1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-4443,,,,,,,,
G6PC,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-504-3p,,,,,,,,
CPSF2,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6780a-5p,,,,,,,,
DERL2,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1470,,,,,,,,
GJB1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-4685-3p,,,,,,,,
ACOT2,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-940,,,,,,,,
PACS2,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-940,,,,,,,,
P4HB,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-7110-5p,,,,,,,,
GRIK3,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-1185-2-3p,,,,,,,,
HIST1H2BK,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-17-3p,,,,,,,,
HLA-C,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-4472,,,,,,,,
RNF6,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-1227-3p,,,,,,,,
RANBP2,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-1470,,,,,,,,
DPY19L1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-1470,,,,,,,,
CC2D1B,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-5698,,,,,,,,
C5orf24,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-940,,,,,,,,
SLIT1,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-1224-5p,,,,,,,,
UQCRQ,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-6780a-5p,,,,,,,,
TERF1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
SUMF2,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
SLC47A1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-5698,,,,,,,,
TNFRSF10D,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1202,,,,,,,,
STRBP,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-4685-3p,,,,,,,,
SH2B3,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6805-3p,,,,,,,,
APEX1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-4483,,,,,,,,
SCRG1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
RTTN,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-495-5p,,,,,,,,
ARHGAP39,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-6877-5p,,,,,,,,
SMYD1,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-1470,,,,,,,,
POLR2J3,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
BDP1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-944,,,,,,,,
ADAMTS17,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6805-3p,,,,,,,,
MTRNR2L11,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-5100,,,,,,,,
MAFG,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-504-3p,,,,,,,,
MFSD8,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-940,,,,,,,,
OGFRL1,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-940,,,,,,,,
GDF11,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-4313,,,,,,,,
PLCXD1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-940,,,,,,,,
GCNT3,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
FNIP1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
EIF5,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-5100,,,,,,,,
EIF4EBP1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-4443,,,,,,,,
RAB33B,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-6780a-5p,,,,,,,,
PAQR7,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-940,,,,,,,,
RAPH1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-646,,,,,,,,
EIF1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6076,,,,,,,,
SMARCD1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-940,,,,,,,,
SUPT16H,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-3652,,,,,,,,
CMPK1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-944,,,,,,,,
TMEM184A,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-3652,,,,,,,,
ATP6AP1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
PIGM,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-6805-3p,,,,,,,,
MTA1,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-17-3p,,,,,,,,
MSANTD3,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-495-5p,,,,,,,,
HAT1,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1185-2-3p,,,,,,,,
PRKAA2,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-495-5p,,,,,,,,
PPP1R15A,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-4483,,,,,,,,
DNLZ,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-4483,,,,,,,,
EDA2R,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1224-5p,,,,,,,,
EMP1,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-4443,,,,,,,,
LIMK1,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-940,,,,,,,,
JADE2,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-940,,,,,,,,
PIP4K2A,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-4443,,,,,,,,
HIST1H3B,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-4483,,,,,,,,
HECTD3,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-6780a-5p,,,,,,,,
PACSIN1,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-4483,,,,,,,,
PDE4D,0.011111111111111072,0.607,0.751,0.918,1,hsa-miR-31-3p,,,,,,,,
HCFC2,0.011111111111111072,0.6,0.749,0.9,1,hsa-miR-646,,,,,,,,
MTRNR2L7,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-4483,,,,,,,,
FSTL4,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-4472,,,,,,,,
PITPNA,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-6780a-5p,,,,,,,,
GPBP1L1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6776-5p,,,,,,,,
TNKS2,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-31-3p,,,,,,,,
CKAP2L,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6805-3p,,,,,,,,
SPN,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6805-3p,,,,,,,,
LSG1,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
TRAM2,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-3652,,,,,,,,
VASP,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6793-5p,,,,,,,,
LIF,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-5100,,,,,,,,
VCL,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-320b,,,,,,,,
KSR2,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-940,,,,,,,,
ZNF548,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6780a-5p,,,,,,,,
KCNE4,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6776-5p,,,,,,,,
GNB1,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-1227-3p,,,,,,,,
ZNF829,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6805-3p,,,,,,,,
FRRS1,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
FJX1,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-4456,,,,,,,,
DISC1,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
CD274,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-940,,,,,,,,
SPC24,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-4443,,,,,,,,
BTRC,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-940,,,,,,,,
BEND4,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-944,,,,,,,,
B4GALNT3,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-4685-3p,,,,,,,,
C11orf98,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-6780a-5p,,,,,,,,
CDADC1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-5698,,,,,,,,
ATP6V1A,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
CXorf36,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-5698,,,,,,,,
AHCY,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6730-5p,,,,,,,,
USP37,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-185-3p,,,,,,,,
TOGARAM2,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-1470,,,,,,,,
DAZAP1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-6877-5p,,,,,,,,
DENND4C,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-1227-3p,,,,,,,,
SOGA3,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-646,,,,,,,,
SNAPC3,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-940,,,,,,,,
MFSD14B,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-940,,,,,,,,
NLK,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-944,,,,,,,,
ZNF280C,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
HNRNPAB,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-5698,,,,,,,,
UBE2G1,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-17-3p,,,,,,,,
SMARCA5,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6776-5p,,,,,,,,
SLC9A7,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-1227-3p,,,,,,,,
GHITM,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6780a-5p,,,,,,,,
SLC1A2,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
SGPP2,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-940,,,,,,,,
SDK2,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-4472,,,,,,,,
GSKIP,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-495-5p,,,,,,,,
RPL12,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-4769-5p,,,,,,,,
HINFP,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-1227-3p,,,,,,,,
HIST1H1E,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-4483,,,,,,,,
HMGCS1,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-1224-5p,,,,,,,,
PSMB2,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6805-3p,,,,,,,,
PRIM2,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
HNRNPDL,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-944,,,,,,,,
ROBO1,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-1185-2-3p,,,,,,,,
KCNK10,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-1185-2-3p,,,,,,,,
LRIG3,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-944,,,,,,,,
LRRC59,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6730-5p,,,,,,,,
MAP3K3,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-4754,,,,,,,,
PPP1R12B,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
MAT1A,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-5698,,,,,,,,
MBD6,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6780a-5p,,,,,,,,
NCAPD2,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-504-3p,,,,,,,,
PFKFB3,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6780a-5p,,,,,,,,
PHC2,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6780a-5p,,,,,,,,
PNPO,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-495-5p,,,,,,,,
PPIL6,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-1227-3p,,,,,,,,
PPM1D,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
POLR3G,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-185-3p,,,,,,,,
RPS27A,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6730-5p,,,,,,,,
EFTUD2,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-504-3p,,,,,,,,
RFTN2,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6780a-5p,,,,,,,,
ARHGAP18,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-4769-5p,,,,,,,,
SLC48A1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-5698,,,,,,,,
SNX1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-6780a-5p,,,,,,,,
SPATA13,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-5100,,,,,,,,
ZNF790,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-6780a-5p,,,,,,,,
SRSF11,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-944,,,,,,,,
ZNF583,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-940,,,,,,,,
ZNF367,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-646,,,,,,,,
TEF,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-1470,,,,,,,,
UEVLD,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-5698,,,,,,,,
TMEM100,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-646,,,,,,,,
VN1R1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-1470,,,,,,,,
ZER1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-4456,,,,,,,,
SRRM4,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-4685-3p,,,,,,,,
ARFGEF3,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-4685-3p,,,,,,,,
CASP8,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-940,,,,,,,,
FAM234B,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-1227-3p,,,,,,,,
DENR,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-4685-3p,,,,,,,,
SPTLC3,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-504-3p,,,,,,,,
SPSB1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-7110-5p,,,,,,,,
DUSP19,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-6780a-5p,,,,,,,,
SPRY1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-944,,,,,,,,
E2F8,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-1185-2-3p,,,,,,,,
GRK4,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-6776-5p,,,,,,,,
RABL3,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-504-3p,,,,,,,,
RABAC1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-940,,,,,,,,
PTPN1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-4483,,,,,,,,
OTUB1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-7110-5p,,,,,,,,
HBS1L,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-5572,,,,,,,,
IPCEF1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-940,,,,,,,,
KLK2,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-6805-3p,,,,,,,,
SLC30A6,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-940,,,,,,,,
SLC26A9,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-5698,,,,,,,,
SIN3A,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-4472,,,,,,,,
SH3BP2,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-940,,,,,,,,
RCOR1,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-4685-3p,,,,,,,,
RAB7A,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6793-5p,,,,,,,,
HLA-B,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-495-5p,,,,,,,,
HOXA7,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-7110-5p,,,,,,,,
KBTBD12,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-6780a-5p,,,,,,,,
MXI1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-940,,,,,,,,
NDUFS1,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-3652,,,,,,,,
RAB1A,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-17-3p,,,,,,,,
PDE7A,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6780a-5p,,,,,,,,
PAPOLA,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6780a-5p,,,,,,,,
MBD3,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6776-5p,,,,,,,,
LRRC2,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-941,,,,,,,,
PDCL3,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-1227-3p,,,,,,,,
LPCAT3,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-5698,,,,,,,,
KCNK3,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-7110-5p,,,,,,,,
IL17REL,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6776-5p,,,,,,,,
HNRNPR,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-940,,,,,,,,
GNG4,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6780a-5p,,,,,,,,
PTCD2,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-495-5p,,,,,,,,
GALNT3,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-504-3p,,,,,,,,
