Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
CTDSPL,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-646,,,,,,,,
PAFAH2,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4685-3p,,,,,,,,
MPHOSPH8,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-940,,,,,,,,
MAP1S,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4472,,,,,,,,
FGD4,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-5100,,,,,,,,
CD40LG,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-5698,,,,,,,,
CTTN,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-495-5p,,,,,,,,
CYB561,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-940,,,,,,,,
EMC10,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4313,,,,,,,,
ESPL1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4443,,,,,,,,
FAM83B,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-6780a-5p,,,,,,,,
FKBP9,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-1227-3p,,,,,,,,
LRIG1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4685-3p,,,,,,,,
GALNT4,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-944,,,,,,,,
GALNT7,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-17-3p,,,,,,,,
GPR82,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-6793-5p,,,,,,,,
ICAM1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-17-3p,,,,,,,,
JOSD1,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-4443,,,,,,,,
KIAA1671,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-940,,,,,,,,
TLK1,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-646,,,,,,,,
